GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
IND.1.1.1_1,IND,India,IND.1_1,Andaman and Nicobar,,IND.1.1_1,Nicobar Islands,,n.a. ( 2304),,,,Taluk,NA,NA,1,0,0,,,,,,,,,7.294707824581558,0.141482541099789
IND.1.2.1_1,IND,India,IND.1_1,Andaman and Nicobar,,IND.1.2_1,North and Middle Andaman,,n.a. ( 2178),,,,Taluk,NA,NA,2,0,1,,,,,,,,,15.236495942369874,0.283680896277944
IND.1.3.1_1,IND,India,IND.1_1,Andaman and Nicobar,,IND.1.3_1,South Andaman,,n.a. ( 2178),,,,Taluk,NA,NA,3,0,2,,,,,,,,,10.982700613150220,0.205320909086354
IND.2.1.1_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Anantapur,,,,Taluk,NA,NA,4,0,3,,,,,,,,,2.247880227025860,0.201223320668253
IND.2.1.2_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Dharmavaram,,,,Taluk,NA,NA,5,0,4,,,,,,,,,2.877886539690403,0.158617465463039
IND.2.1.3_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Gooty,,,,Taluk,NA,NA,6,0,5,,,,,,,,,2.305167356172727,0.194732780680246
IND.2.1.4_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Hindupur,,,,Taluk,NA,NA,7,0,6,,,,,,,,,2.345526561250189,0.093863763348992
IND.2.1.5_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Kadiri,,,,Taluk,NA,NA,8,0,7,,,,,,,,,3.157003829234305,0.253878206505181
IND.2.1.6_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Kalyandurg,,,,Taluk,NA,NA,9,0,8,,,,,,,,,2.473644693839140,0.177485216559202
IND.2.1.7_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Madakasira,,,,Taluk,NA,NA,10,0,9,,,,,,,,,2.587489365529921,0.089882462970409
IND.2.1.8_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Penukonda,,,,Taluk,NA,NA,11,0,10,,,,,,,,,2.663846748105034,0.147244911811647
IND.2.1.9_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Rayadurg,,,,Taluk,NA,NA,12,0,11,,,,,,,,,2.388259638198675,0.149233730841438
IND.2.1.10_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.1_1,Anantapur,,Tadpatri,,,,Taluk,NA,NA,13,0,12,,,,,,,,,2.397373984905110,0.145713815332274
IND.2.2.1_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Chandragiri,,,,Taluk,NA,NA,14,0,13,,,,,,,,,2.027365973890092,0.118738660400247
IND.2.2.2_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Chittoor,,,,Taluk,NA,NA,15,0,14,,,,,,,,,2.119961688818883,0.149927292957558
IND.2.2.3_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Kuppam,,,,Taluk,NA,NA,16,0,15,,,,,,,,,1.581329791436688,0.066936203912967
IND.2.2.4_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Madanapalle,,,,Taluk,NA,NA,17,0,16,,,,,,,,,2.808787429799706,0.179299704222798
IND.2.2.5_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Palmaner,,,,Taluk,NA,NA,18,0,17,,,,,,,,,1.812291789443918,0.089476454722678
IND.2.2.6_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Punganuru,,,,Taluk,NA,NA,19,0,18,,,,,,,,,2.782859007828886,0.146491369482700
IND.2.2.7_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Puttur,,,,Taluk,NA,NA,20,0,19,,,,,,,,,2.296693387058861,0.123749454297998
IND.2.2.8_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Satyavedu,,,,Taluk,NA,NA,21,0,20,,,,,,,,,2.272120387192988,0.087338067270142
IND.2.2.9_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Sri Kalahasti,,,,Taluk,NA,NA,22,0,21,,,,,,,,,2.285419189604450,0.132360399504655
IND.2.2.10_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.2_1,Chittoor,,Vayalipad,,,,Taluk,NA,NA,23,0,22,,,,,,,,,2.316778105218905,0.171892057716813
IND.2.3.1_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Addatigala,,,,Taluk,NA,NA,24,0,23,,,,,,,,,3.605681234616865,0.187093343340441
IND.2.3.2_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Amalapuram,,,,Taluk,NA,NA,25,0,24,,,,,,,,,1.223247583337446,0.035637778669786
IND.2.3.3_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Kakinada,,,,Taluk,NA,NA,26,0,25,,,,,,,,,2.263593062599198,0.077686807152092
IND.2.3.4_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Kottapeta,,,,Taluk,NA,NA,27,0,26,,,,,,,,,1.247084797778900,0.032750073304286
IND.2.3.5_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Mummidivaram,,,,Taluk,NA,NA,28,0,27,,,,,,,,,2.117729811518496,0.040109506413242
IND.2.3.6_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Peddapuram,,,,Taluk,NA,NA,29,0,28,,,,,,,,,1.626307339543594,0.065345475315284
IND.2.3.7_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Pithapuram,,,,Taluk,NA,NA,30,0,29,,,,,,,,,0.954853406815043,0.028059024523328
IND.2.3.8_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Prathipadu,,,,Taluk,NA,NA,31,0,30,,,,,,,,,1.900989862703776,0.066951804788347
IND.2.3.9_1,IND,India,IND.2_1,Andhra Pradesh,,IND.2.3_1,East Godavari,,Rajahmundry,,,,Taluk,NA,NA,32,0,31,,,,,,,,,1.863878457383944,0.080522190608509
