VALUE,ZONE_CODE,COUNT,AREA,SUM
Berpeta,1,1981.000000000000000,0.137569444444443,0.000000000000000
Kokrajhar,2,7292.000000000000000,0.506388888888885,0.000000000000000
Gauripur,3,3622.000000000000000,0.251527777777776,23642.000000000000000
Goalpara,4,2357.000000000000000,0.163680555555554,0.000000000000000
Guwahati,5,56.000000000000000,0.003888888888889,0.000000000000000
Araria,6,3664.000000000000000,0.254444444444442,3407346.000000000000000
Jahanabad,7,2062.000000000000000,0.143194444444443,2196665.000000000000000
Aurangabad,8,4218.000000000000000,0.292916666666664,3016672.000000000000000
Banka,9,3979.000000000000000,0.276319444444442,2430289.000000000000000
Begusarai,10,2499.000000000000000,0.173541666666665,3595150.000000000000000
Bhagalpur,11,2131.000000000000000,0.147986111111110,2894680.000000000000000
Naugachhia,12,1167.000000000000000,0.081041666666666,779006.000000000000000
Ara,13,3078.000000000000000,0.213749999999998,3299488.000000000000000
Buxar,14,2206.000000000000000,0.153194444444443,2032327.000000000000000
Benipur,15,1507.000000000000000,0.104652777777777,1940583.000000000000000
Darbhanga,16,1463.000000000000000,0.101597222222221,2827732.000000000000000
Gaya,17,6382.000000000000000,0.443194444444441,5235391.000000000000000
Gopalganj,18,2650.000000000000000,0.184027777777776,3113923.000000000000000
Jamui,19,3969.000000000000000,0.275624999999998,2123783.000000000000000
Bhabua,20,4323.000000000000000,0.300208333333331,1940660.000000000000000
Katihar,21,3971.000000000000000,0.275763888888887,3675889.000000000000000
Khagaria,22,1925.000000000000000,0.133680555555554,1994445.000000000000000
Kishanganj,23,5210.000000000000000,0.361805555555553,2944959.000000000000000
Lakhisarai,24,1721.000000000000000,0.119513888888888,1244991.000000000000000
Madhepura,25,1486.000000000000000,0.103194444444444,1516227.000000000000000
Benipatti,26,1108.000000000000000,0.076944444444444,1311901.000000000000000
Jhanjharpur,27,1890.000000000000000,0.131249999999999,2134320.000000000000000
Madhubani,28,1491.000000000000000,0.103541666666666,1917098.000000000000000
Munger,29,1774.000000000000000,0.123194444444443,1579105.000000000000000
Muzaffarpur,30,2028.000000000000000,0.140833333333332,3350506.000000000000000
n.a. ( 542),31,2110.000000000000000,0.146527777777777,2386593.000000000000000
Bihar Sharif,32,1864.000000000000000,0.129444444444443,2111481.000000000000000
Hilsa,33,1158.000000000000000,0.080416666666666,1340959.000000000000000
Nawada,34,3202.000000000000000,0.222361111111109,2686505.000000000000000
Bettiah,35,6855.000000000000000,0.476041666666663,4728563.000000000000000
Barh,36,1163.000000000000000,0.080763888888888,858928.000000000000000
Danapur,37,1560.000000000000000,0.108333333333332,1959795.000000000000000
Masaurhi,38,666.000000000000000,0.046250000000000,547942.000000000000000
n.a. ( 652),39,746.000000000000000,0.051805555555555,3606590.000000000000000
Dhaka,40,1719.000000000000000,0.119374999999999,2107296.000000000000000
Motihari,41,3476.000000000000000,0.241388888888887,3963014.000000000000000
Purnia,42,4199.000000000000000,0.291597222222220,3907554.000000000000000
Sasaram,43,4968.000000000000000,0.344999999999997,3578863.000000000000000
Saharsa,44,2187.000000000000000,0.151874999999999,2269219.000000000000000
Dalsing Sarai,45,946.000000000000000,0.065694444444444,1296565.000000000000000
Rusera,46,1482.000000000000000,0.102916666666666,1633212.000000000000000
Samastipur,47,1355.000000000000000,0.094097222222221,2165017.000000000000000
Chhapra,48,3429.000000000000000,0.238124999999998,4788452.000000000000000
Sheikhpura,49,780.000000000000000,0.054166666666666,752057.000000000000000
Sheohar,50,743.000000000000000,0.051597222222222,1330855.000000000000000
n.a. ( 455),51,1609.000000000000000,0.111736111111110,1953821.000000000000000
Sitamarhi,52,1078.000000000000000,0.074861111111111,1605394.000000000000000
Siwan,53,2897.000000000000000,0.201180555555554,3964292.000000000000000
Birpur,54,1468.000000000000000,0.101944444444444,1214869.000000000000000
Supaul,55,1645.000000000000000,0.114236111111110,1462716.000000000000000
Hajipur,56,2604.000000000000000,0.180833333333332,4156612.000000000000000
Chandigarh,57,159.000000000000000,0.011041666666667,1212336.000000000000000
Baloda Bazar,58,1075.000000000000000,0.074652777777777,0.000000000000000
Bhatapara,59,599.000000000000000,0.041597222222222,0.000000000000000
Bilaigarh,60,783.000000000000000,0.054375000000000,0.000000000000000
Kasdol,61,732.000000000000000,0.050833333333333,0.000000000000000
Simga,62,759.000000000000000,0.052708333333333,0.000000000000000
Ambikapur,63,3654.000000000000000,0.253749999999998,0.000000000000000
Kusmi,64,2365.000000000000000,0.164236111111110,0.000000000000000
Ramanuj Ganj,65,4706.000000000000000,0.326805555555553,7955.000000000000000
Bemetara,66,3169.000000000000000,0.220069444444443,0.000000000000000
Bilaspur,67,3554.000000000000000,0.246805555555554,394032.000000000000000
Kota,68,3283.000000000000000,0.227986111111109,0.000000000000000
n.a. ( 1152),69,7.000000000000000,0.000486111111111,0.000000000000000
Pendra Road,70,2544.000000000000000,0.176666666666665,0.000000000000000
Takhatpur,71,877.000000000000000,0.060902777777777,0.000000000000000
Durg,72,11.000000000000000,0.000763888888889,0.000000000000000
Champa,73,537.000000000000000,0.037291666666666,0.000000000000000
Janjgir,74,2298.000000000000000,0.159583333333332,0.000000000000000
Sakti,75,2047.000000000000000,0.142152777777777,0.000000000000000
Bagicha,76,2576.000000000000000,0.178888888888887,0.000000000000000
Jashpurnagar,77,3791.000000000000000,0.263263888888887,0.000000000000000
Pathalgaon,78,1014.000000000000000,0.070416666666666,0.000000000000000
Kawardha,79,3884.000000000000000,0.269722222222220,0.000000000000000
Pandaria,80,1431.000000000000000,0.099374999999999,0.000000000000000
Katghora,81,4999.000000000000000,0.347152777777775,0.000000000000000
Korba,82,3360.000000000000000,0.233333333333331,0.000000000000000
Baikunthpur,83,2693.000000000000000,0.187013888888887,0.000000000000000
Bharatpur,84,3767.000000000000000,0.261597222222220,3018.000000000000000
Manendragarh,85,2747.000000000000000,0.190763888888887,0.000000000000000
Seraipali,86,15.000000000000000,0.001041666666667,0.000000000000000
Mungeli,87,3520.000000000000000,0.244444444444442,0.000000000000000
Dharmjaygarh,88,2441.000000000000000,0.169513888888888,0.000000000000000
Gharghoda,89,2517.000000000000000,0.174791666666665,0.000000000000000
n.a. ( 1156),90,616.000000000000000,0.042777777777777,0.000000000000000
Raigarh,91,1462.000000000000000,0.101527777777777,0.000000000000000
Sarangarh,92,1148.000000000000000,0.079722222222222,0.000000000000000
Raipur,93,2190.000000000000000,0.152083333333332,0.000000000000000
Chhuikhadan,94,1503.000000000000000,0.104374999999999,0.000000000000000
Partabpur,95,1914.000000000000000,0.132916666666666,0.000000000000000
Surajpur,96,5007.000000000000000,0.347708333333331,0.000000000000000
Lundra,97,739.000000000000000,0.051319444444444,0.000000000000000
Sitapur,98,3420.000000000000000,0.237499999999998,1606817.000000000000000
Ahmadabad,99,305.000000000000000,0.021180555555555,0.000000000000000
Dhandhuka,100,3146.000000000000000,0.218472222222220,0.000000000000000
Dholka,101,3124.000000000000000,0.216944444444443,0.000000000000000
Sanand,102,1017.000000000000000,0.070624999999999,0.000000000000000
Viramgam,103,2202.000000000000000,0.152916666666665,0.000000000000000
Amreli,104,739.000000000000000,0.051319444444444,0.000000000000000
Babra,105,992.000000000000000,0.068888888888888,0.000000000000000
Lathi,106,808.000000000000000,0.056111111111111,0.000000000000000
Lilia,107,269.000000000000000,0.018680555555555,0.000000000000000
Vadia,108,786.000000000000000,0.054583333333333,0.000000000000000
Anand,109,862.000000000000000,0.059861111111111,0.000000000000000
Borsad,110,767.000000000000000,0.053263888888888,0.000000000000000
Khambhat,111,1413.000000000000000,0.098124999999999,0.000000000000000
Petlad,112,600.000000000000000,0.041666666666666,0.000000000000000
Bayad,113,1415.000000000000000,0.098263888888888,0.000000000000000
Bhiloda,114,928.000000000000000,0.064444444444444,0.000000000000000
Meghraj,115,696.000000000000000,0.048333333333333,0.000000000000000
Modasa,116,1098.000000000000000,0.076249999999999,0.000000000000000
Danta,117,1164.000000000000000,0.080833333333333,0.000000000000000
Dhanera,118,1552.000000000000000,0.107777777777777,0.000000000000000
Disa,119,1886.000000000000000,0.130972222222221,0.000000000000000
Diyodar,120,1308.000000000000000,0.090833333333333,0.000000000000000
Kankrej,121,1055.000000000000000,0.073263888888888,0.000000000000000
Palanpur,122,2020.000000000000000,0.140277777777777,0.000000000000000
Tharad,123,1725.000000000000000,0.119791666666666,0.000000000000000
Vadgam,124,705.000000000000000,0.048958333333333,0.000000000000000
Vav,125,2178.000000000000000,0.151249999999999,0.000000000000000
Amod,126,548.000000000000000,0.038055555555555,0.000000000000000
Ankleshwar,127,447.000000000000000,0.031041666666666,0.000000000000000
Bharuch,128,855.000000000000000,0.059375000000000,0.000000000000000
Hansot Mahal,129,447.000000000000000,0.031041666666666,0.000000000000000
Jambusar,130,1567.000000000000000,0.108819444444444,0.000000000000000
Jhagadia,131,1019.000000000000000,0.070763888888888,0.000000000000000
Vagra,132,944.000000000000000,0.065555555555555,0.000000000000000
Valia,133,516.000000000000000,0.035833333333333,0.000000000000000
Bhavnagar,134,271.000000000000000,0.018819444444444,0.000000000000000
Gariyadhar,135,306.000000000000000,0.021250000000000,0.000000000000000
Ghogha,136,3.000000000000000,0.000208333333333,0.000000000000000
Mahuva,137,1.000000000000000,0.000069444444444,0.000000000000000
n.a. ( 1154),138,1.000000000000000,0.000069444444444,0.000000000000000
n.a. ( 1198),139,289.000000000000000,0.020069444444444,0.000000000000000
n.a. ( 1232),140,1630.000000000000000,0.113194444444444,0.000000000000000
Palitana,141,325.000000000000000,0.022569444444444,0.000000000000000
Sihor,142,849.000000000000000,0.058958333333333,0.000000000000000
Talaja,143,3.000000000000000,0.000208333333333,0.000000000000000
Umrala,144,527.000000000000000,0.036597222222222,0.000000000000000
Valabhipur,145,784.000000000000000,0.054444444444444,0.000000000000000
Botad,146,958.000000000000000,0.066527777777777,0.000000000000000
Gadhada,147,1085.000000000000000,0.075347222222222,0.000000000000000
Chhota Udaipur,148,1762.000000000000000,0.122361111111110,0.000000000000000
Jetpur Pavi,149,1009.000000000000000,0.070069444444444,0.000000000000000
Naswadi,150,668.000000000000000,0.046388888888889,0.000000000000000
Sankheda,151,901.000000000000000,0.062569444444444,0.000000000000000
Tilakwada,152,310.000000000000000,0.021527777777778,0.000000000000000
Dahod,153,1117.000000000000000,0.077569444444444,0.000000000000000
Devgadh Bariya,154,1452.000000000000000,0.100833333333333,0.000000000000000
Jhalod,155,981.000000000000000,0.068124999999999,0.000000000000000
Limkheda,156,1334.000000000000000,0.092638888888888,0.000000000000000
