GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
Z06.1.1.1_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Bagh,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.2_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Bhimber,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.3_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Kotli,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.4_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Mirpur,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.5_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Muzaffarabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.6_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Neelum,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.7_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Poonch,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
Z06.1.1.8_1,Z06,Pakistan,Z06.1_1,Azad Kashmir,NA,Z06.1.1_1,Azad Kashmir,NA,Sudhnati,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.1.1_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.1_1,Kalat,NA,Awaran,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.1.2_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.1_1,Kalat,NA,Disputed Area 1,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.1.3_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.1_1,Kalat,NA,Disputed Area 2,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.2.1.4_1,PAK,Pakistan,PAK.2_1,Balochistan,NA,PAK.2.1_1,Kalat,NA,Kalat,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
