VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1,636.000000000000000,0.044166666666666,0,5723,5723,475.712264150943554,568.904843244633412,302553.000000000000000,378,0,28,4.4025002,4,1,0.1572000,372,992
2,108.000000000000000,0.007500000000000,35,3792,3757,832.592592592592382,645.231799247328695,89920.000000000000000,90,746,4,3.7037001,35,1,0.9259000,705,1058
3,400.000000000000000,0.027777777777778,0,9550,9550,733.119999999999777,778.957024231760897,293248.000000000000000,282,496,10,2.5000000,23,1,0.2500000,565,1234
4,190.000000000000000,0.013194444444444,0,4669,4669,680.263157894736764,634.162493048924830,129250.000000000000000,157,586,7,3.6842000,0,1,0.5263000,574,1061
5,313.000000000000000,0.021736111111111,0,2764,2764,586.757188498402684,564.215374627364440,183655.000000000000000,214,0,35,11.1821003,3,1,0.3195000,487,1517
6,205.000000000000000,0.014236111111111,13,5571,5558,815.175609756097970,875.170337923267311,167111.000000000000000,172,674,5,2.4389999,13,1,0.4878000,674,1451
7,201.000000000000000,0.013958333333333,0,4226,4226,797.985074626866208,606.185294870744656,160395.000000000000000,174,709,4,1.9900000,0,1,0.4975000,709,1526
8,451.000000000000000,0.031319444444444,0,6315,6315,778.756097560975718,802.977901536766581,351219.000000000000000,355,372,5,1.1086000,15,1,0.2217000,543,1484
9,169.000000000000000,0.011736111111111,2,8607,8605,986.029585798816470,1101.219197534338036,166639.000000000000000,162,75,2,1.1834000,2,1,0.5917000,759,1999
10,352.000000000000000,0.024444444444444,0,30316,30316,1699.218750000000682,3459.992528300956110,598125.000000000000000,310,598,4,1.1364000,6,1,0.2841000,843,2789
11,189.000000000000000,0.013125000000000,6,7534,7528,1173.772486772487355,1177.018916690939704,221843.000000000000000,173,569,3,1.5872999,6,1,0.5291000,820,2807
12,297.000000000000000,0.020625000000000,0,5276,5276,532.929292929292728,874.414827925971508,158280.000000000000000,182,0,63,21.2120991,7,1,0.3367000,87,1820
13,386.000000000000000,0.026805555555555,0,8635,8635,861.072538860104487,985.284683051153593,332374.000000000000000,313,0,15,3.8859999,4,1,0.2591000,635,1769
14,286.000000000000000,0.019861111111111,0,7410,7410,703.629370629370214,783.558202713406217,201238.000000000000000,216,1090,12,4.1957998,2,1,0.3497000,654,1147
15,315.000000000000000,0.021875000000000,2,6662,6660,871.155555555555452,1016.208713998086068,274414.000000000000000,265,651,5,1.5872999,2,1,0.3175000,647,1894
16,385.000000000000000,0.026736111111111,0,10512,10512,1242.685714285713857,1442.307884500401087,478434.000000000000000,339,0,9,2.3376999,3,1,0.2597000,997,2701
17,306.000000000000000,0.021250000000000,0,6742,6742,875.297385620915065,874.904835045116101,267841.000000000000000,250,0,24,7.8431001,10,1,0.3268000,682,1921
18,779.000000000000000,0.054097222222222,0,16745,16745,661.193838254171851,951.555078642266153,515070.000000000000000,317,858,120,15.4043999,9,1,0.1284000,579,1156
19,131.000000000000000,0.009097222222222,0,13338,13338,1529.488549618320121,1707.933210907945295,200363.000000000000000,123,0,4,3.0534000,3,1,0.7634000,1087,3442
20,338.000000000000000,0.023472222222222,0,14676,14676,979.284023668639065,1354.030407843951252,330998.000000000000000,263,498,25,7.3965001,10,1,0.2959000,625,1601
21,187.000000000000000,0.012986111111111,0,4369,4369,462.684491978609572,778.097035536939302,86522.000000000000000,95,0,54,28.8770008,12,1,0.5348000,46,1163
22,180.000000000000000,0.012500000000000,0,4969,4969,753.727777777777987,860.038163433302770,135671.000000000000000,136,1,14,7.7778001,3,1,0.5556000,651,1615
23,247.000000000000000,0.017152777777778,31,7823,7792,1044.655870445343908,1090.777521872641955,258030.000000000000000,209,615,12,4.8583002,31,1,0.4049000,724,2034
24,190.000000000000000,0.013194444444444,20,4110,4090,747.389473684210429,593.077243477864386,142004.000000000000000,163,597,4,2.1052999,20,1,0.5263000,657,1033
25,272.000000000000000,0.018888888888889,9,6670,6661,751.970588235294599,849.765594332589671,204536.000000000000000,225,483,6,2.2059000,9,1,0.3676000,511,1085
26,195.000000000000000,0.013541666666667,86,8562,8476,866.102564102563747,877.081103020397109,168890.000000000000000,170,483,6,3.0769000,86,1,0.5128000,652,1487
27,525.000000000000000,0.036458333333333,0,4928,4928,670.716190476190604,704.783774625923002,352126.000000000000000,375,0,20,3.8095000,6,1,0.1905000,490,1484
28,281.000000000000000,0.019513888888889,0,2924,2924,501.989323843416628,518.700597160404868,141059.000000000000000,212,0,29,10.3203001,1,1,0.3559000,427,840
29,96.000000000000000,0.006666666666667,6,2524,2518,847.656249999999886,490.915637442868103,81375.000000000000000,92,514,2,2.0833001,6,1,1.0417000,765,1324
30,1042.000000000000000,0.072361111111111,0,9893,9893,386.600767754318781,528.480173316521814,402838.000000000000000,485,0,168,16.1228008,6,1,0.0960000,277,808
31,554.000000000000000,0.038472222222222,0,7733,7733,482.839350180505164,637.587508968264956,267493.000000000000000,339,549,20,3.6101000,4,1,0.1805000,378,751
32,201.000000000000000,0.013958333333333,15,4733,4718,710.875621890547109,653.749202183801344,142886.000000000000000,167,661,6,2.9851000,15,1,0.4975000,603,1043
33,448.000000000000000,0.031111111111111,24,8376,8352,802.790178571428328,841.756757096623915,359650.000000000000000,346,375,5,1.1161000,24,1,0.2232000,603,1299
34,190.000000000000000,0.013194444444444,0,6516,6516,891.842105263157919,976.440806579416972,169450.000000000000000,173,447,3,1.5789000,3,1,0.5263000,631,1748
35,100.000000000000000,0.006944444444444,5,5061,5056,799.619999999999891,687.643305500751580,79962.000000000000000,92,237,2,2.0000000,5,1,1.0000000,610,1308
36,418.000000000000000,0.029027777777778,0,5528,5528,726.569377990430553,776.059696083529047,303706.000000000000000,331,0,10,2.3922999,3,1,0.2392000,501,1816
37,289.000000000000000,0.020069444444444,1,4557,4556,719.640138408304324,879.094336916463249,207976.000000000000000,239,51,4,1.3841000,1,1,0.3460000,308,2117
38,234.000000000000000,0.016250000000000,4,7763,7759,1034.440170940170901,1117.559229318906318,242059.000000000000000,212,862,4,1.7094001,4,1,0.4274000,845,2101
39,206.000000000000000,0.014305555555555,0,8118,8118,906.097087378640822,1055.116185702466510,186656.000000000000000,190,0,3,1.4563000,15,1,0.4854000,611,2065
40,117.000000000000000,0.008125000000000,0,3241,3241,754.897435897435798,703.008545553772592,88323.000000000000000,111,9,2,1.7094001,0,1,0.8547000,577,1711
49,44.000000000000000,0.003055555555556,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,44,100.0000000,0,44,100.0000000,0,0
50,262.000000000000000,0.018194444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,262,100.0000000,0,262,100.0000000,0,0
54,322.000000000000000,0.022361111111111,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,322,100.0000000,0,322,100.0000000,0,0
56,15.000000000000000,0.001041666666667,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,15,100.0000000,0,15,100.0000000,0,0
57,342.000000000000000,0.023750000000000,0,148,148,0.432748538011696,7.991214696689092,148.000000000000000,2,0,341,99.7076035,148,1,0.2924000,0,0
58,302.000000000000000,0.020972222222222,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,302,100.0000000,0,302,100.0000000,0,0
59,77.000000000000000,0.005347222222222,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,77,100.0000000,0,77,100.0000000,0,0
60,242.000000000000000,0.016805555555555,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,242,100.0000000,0,242,100.0000000,0,0
61,285.000000000000000,0.019791666666667,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,285,100.0000000,0,285,100.0000000,0,0
62,167.000000000000000,0.011597222222222,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,167,100.0000000,0,167,100.0000000,0,0
63,355.000000000000000,0.024652777777778,0,138,138,0.518309859154930,7.703050609513072,184.000000000000000,3,0,353,99.4365997,46,1,0.2817000,0,0
64,196.000000000000000,0.013611111111111,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,196,100.0000000,0,196,100.0000000,0,0
90,94.000000000000000,0.006527777777778,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,94,100.0000000,0,94,100.0000000,0,0
93,237.000000000000000,0.016458333333333,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,237,100.0000000,0,237,100.0000000,0,0
97,268.000000000000000,0.018611111111111,0,1898,1898,10.970149253731345,124.563502973832826,2940.000000000000000,6,0,263,98.1343002,3,1,0.3731000,0,0
98,190.000000000000000,0.013194444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,190,100.0000000,0,190,100.0000000,0,0
99,163.000000000000000,0.011319444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,163,100.0000000,0,163,100.0000000,0,0
101,20.000000000000000,0.001388888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,20,100.0000000,0,20,100.0000000,0,0
102,133.000000000000000,0.009236111111111,0,1671,1671,22.203007518796991,162.427439411146310,2953.000000000000000,5,0,129,96.9925003,34,1,0.7519000,0,0
103,387.000000000000000,0.026875000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,387,100.0000000,0,387,100.0000000,0,0
105,138.000000000000000,0.009583333333333,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,138,100.0000000,0,138,100.0000000,0,0
128,286.000000000000000,0.019861111111111,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,286,100.0000000,0,286,100.0000000,0,0
129,572.000000000000000,0.039722222222222,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,572,100.0000000,0,572,100.0000000,0,0
130,227.000000000000000,0.015763888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,227,100.0000000,0,227,100.0000000,0,0
131,256.000000000000000,0.017777777777778,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,256,100.0000000,0,256,100.0000000,0,0
132,249.000000000000000,0.017291666666667,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,249,100.0000000,0,249,100.0000000,0,0
133,36.000000000000000,0.002500000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,36,100.0000000,0,36,100.0000000,0,0
134,171.000000000000000,0.011875000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,171,100.0000000,0,171,100.0000000,0,0
136,79.000000000000000,0.005486111111111,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,79,100.0000000,0,79,100.0000000,0,0
138,137.000000000000000,0.009513888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,137,100.0000000,0,137,100.0000000,0,0
140,23.000000000000000,0.001597222222222,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,23,100.0000000,0,23,100.0000000,0,0
141,37.000000000000000,0.002569444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,37,100.0000000,0,37,100.0000000,0,0
152,3.000000000000000,0.000208333333333,16066,146034,129968,77773.333333333328483,53261.179667329524818,233320.000000000000000,3,16066,1,33.3333015,16066,1,33.3333015,71220,146034
153,47.000000000000000,0.003263888888889,41,130604,130563,17008.914893617020425,30342.425497256917879,799419.000000000000000,46,100331,2,4.2553000,41,1,2.1277001,3254,41369
