VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
157,416.000000000000000,0.028888888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,416,100.0000000,0,416,100.0000000,0,0
160,1565.000000000000000,0.108680555555555,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1565,100.0000000,0,1565,100.0000000,0,0
161,1461.000000000000000,0.101458333333333,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1461,100.0000000,0,1461,100.0000000,0,0
163,1540.000000000000000,0.106944444444444,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1540,100.0000000,0,1540,100.0000000,0,0
166,3622.000000000000000,0.251527777777776,0,2041,2041,6.527332965212602,77.736878677179789,23642.000000000000000,41,0,3582,98.8955994,10,1,0.0276000,0,0
169,2357.000000000000000,0.163680555555554,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2357,100.0000000,0,2357,100.0000000,0,0
173,56.000000000000000,0.003888888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,56,100.0000000,0,56,100.0000000,0,0
178,4291.000000000000000,0.297986111111109,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,4291,100.0000000,0,4291,100.0000000,0,0
188,3664.000000000000000,0.254444444444442,0,21837,21837,929.952510917030395,1672.137831602346978,3407346.000000000000000,1231,151,136,3.7118001,18,1,0.0273000,393,2178
189,853.000000000000000,0.059236111111111,0,22461,22461,998.157092614302087,1974.240161296955876,851428.000000000000000,441,421,31,3.6342001,7,1,0.1172000,421,2135
190,4218.000000000000000,0.292916666666664,0,17208,17208,715.190137505928078,1435.521737049431522,3016672.000000000000000,1038,135,464,11.0004997,44,1,0.0237000,270,1922
191,3979.000000000000000,0.276319444444442,0,12889,12889,610.778838904247209,1120.319201472866098,2430289.000000000000000,1041,123,215,5.4033999,6,1,0.0251000,276,1242
192,2499.000000000000000,0.173541666666665,0,37255,37255,1438.635454181672003,3413.389383002108389,3595150.000000000000000,962,280,157,6.2824998,6,1,0.0400000,484,3151
193,2131.000000000000000,0.147986111111110,0,42694,42694,1358.366963866730202,2902.998138144028871,2894680.000000000000000,1027,354,69,3.2379000,2,1,0.0469000,393,3428
194,1167.000000000000000,0.081041666666666,0,19731,19731,667.528706083975408,1731.794361155561319,779006.000000000000000,563,0,75,6.4267001,1,1,0.0857000,155,1516
195,3078.000000000000000,0.213749999999998,0,22682,22682,1071.958414554903584,2067.844071692389207,3299488.000000000000000,975,189,235,7.6348000,6,1,0.0325000,415,2554
196,2206.000000000000000,0.153194444444443,0,20075,20075,921.272438803262162,1831.064575642868704,2032327.000000000000000,758,191,158,7.1623001,3,1,0.0453000,376,2158
197,1507.000000000000000,0.104652777777777,0,28307,28307,1287.712674187130006,2600.830481242840506,1940583.000000000000000,556,321,172,11.4133997,2,1,0.0664000,562,2446
198,1463.000000000000000,0.101597222222221,0,37219,37219,1932.831168831169634,4121.099787289820597,2827732.000000000000000,832,321,65,4.4429002,5,1,0.0684000,728,3871
199,6382.000000000000000,0.443194444444441,0,22129,22129,820.337041679726440,1656.843487449175882,5235391.000000000000000,1384,157,527,8.2575998,1,1,0.0157000,314,1984
200,2650.000000000000000,0.184027777777776,0,21961,21961,1175.065283018869650,2235.284062460311361,3113923.000000000000000,1082,213,81,3.0566001,5,1,0.0377000,487,2694
201,3969.000000000000000,0.275624999999998,0,14085,14085,535.092718568909049,1105.763658427608561,2123783.000000000000000,957,137,206,5.1901999,19,1,0.0252000,239,1140
202,1209.000000000000000,0.083958333333333,17,21296,21279,1112.685690653429901,2007.878809988713783,1345237.000000000000000,550,184,82,6.7824998,17,1,0.0827000,497,2555
203,4323.000000000000000,0.300208333333331,0,16542,16542,448.915105250982663,1024.029039598113286,1940660.000000000000000,845,157,241,5.5748000,7,1,0.0231000,151,1006
204,3971.000000000000000,0.275763888888887,0,21534,21534,925.683455049105191,1891.243352548875691,3675889.000000000000000,1325,0,105,2.6442001,16,1,0.0252000,381,1948
205,1925.000000000000000,0.133680555555554,0,36113,36113,1036.075324675324055,2290.850227927119704,1994445.000000000000000,806,293,139,7.2207999,4,1,0.0519000,367,2352
206,2520.000000000000000,0.174999999999999,0,12180,12180,814.325396825397888,1361.732080257575262,2052100.000000000000000,989,215,58,2.3016000,10,1,0.0397000,323,1971
207,1721.000000000000000,0.119513888888888,0,16817,16817,723.411388727485019,1607.321240226555801,1244991.000000000000000,661,141,91,5.2876000,1,1,0.0581000,212,2029
208,899.000000000000000,0.062430555555555,30,22097,22067,993.169076751945227,1677.745800926170432,892859.000000000000000,399,470,73,8.1201000,30,1,0.1112000,470,2680
209,1486.000000000000000,0.103194444444444,43,20750,20707,1020.341184387618114,1810.711214495882814,1516227.000000000000000,556,403,109,7.3351002,43,1,0.0673000,470,2119
210,1108.000000000000000,0.076944444444444,0,24266,24266,1184.026173285197501,2166.030602002094383,1311901.000000000000000,620,289,51,4.6029000,0,1,0.0903000,603,2520
211,1890.000000000000000,0.131249999999999,0,23756,23756,1129.269841269842345,2132.420599188109009,2134320.000000000000000,772,289,119,6.2962999,0,1,0.0529000,572,2164
212,1491.000000000000000,0.103541666666666,0,31328,31328,1285.780013413817187,2533.605305546895579,1917098.000000000000000,683,289,60,4.0240998,55,1,0.0671000,642,2116
213,1774.000000000000000,0.123194444444443,0,31775,31775,890.138105975196822,2328.614475138414491,1579105.000000000000000,653,0,66,3.7204001,50,1,0.0564000,174,2205
214,2028.000000000000000,0.140833333333332,0,33092,33092,1652.123274161736390,3027.554819324422624,3350506.000000000000000,1093,221,43,2.1203001,6,1,0.0493000,692,3565
