VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1,1996.000000000000000,0.138611111111110,0,2929,2929,8.434869739478952,89.913414520607432,16836.000000000000000,47,0,1949,97.6453018,6,1,0.0501000,0,0
2,1871.000000000000000,0.129930555555555,0,6768,6768,439.414216996258745,694.225263286230756,822144.000000000000000,757,0,447,23.8910007,2,1,0.0534000,157,1292
3,2627.000000000000000,0.182430555555554,0,9179,9179,379.641035401599368,483.115082466779882,997317.000000000000000,837,0,189,7.1945000,3,1,0.0381000,238,898
4,1256.000000000000000,0.087222222222222,0,12059,12059,783.820859872611550,1368.189661412741543,984479.000000000000000,646,0,318,25.3185005,32,1,0.0796000,202,2129
5,2711.000000000000000,0.188263888888887,0,2223,2223,5.955367023238670,79.811922960347630,16145.000000000000000,27,0,2685,99.0409012,59,1,0.0369000,0,0
6,7362.000000000000000,0.511249999999996,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,7362,100.0000000,0,7362,100.0000000,0,0
7,1127.000000000000000,0.078263888888888,0,3011,3011,79.582963620230686,231.835245773154043,89690.000000000000000,175,0,922,81.8100967,10,1,0.0887000,0,315
8,615.000000000000000,0.042708333333333,0,3723,3723,499.684552845528742,432.563154472169458,307306.000000000000000,426,0,16,2.6015999,4,1,0.1626000,414,1036
9,19082.000000000000000,1.325138888888878,0,665,665,0.548946651294412,9.143296636307060,10475.000000000000000,78,0,18749,98.2548981,12,1,0.0052000,0,0
10,3112.000000000000000,0.216111111111109,0,243,243,0.635282776349614,7.318959908950812,1977.000000000000000,33,0,3022,97.1080017,8,1,0.0321000,0,0
11,171.000000000000000,0.011875000000000,0,39,39,2.116959064327485,6.535401041719020,362.000000000000000,13,0,149,87.1344986,18,1,0.5848000,0,6
12,14134.000000000000000,0.981527777777770,0,7333,7333,26.055469081647061,184.816921966000251,368268.000000000000000,447,0,11695,82.7436981,29,1,0.0071000,0,22
13,21190.000000000000000,1.471527777777766,0,568,568,0.307597923548842,7.901664022496337,6518.000000000000000,56,0,21057,99.3722992,3,1,0.0047000,0,0
14,38310.000000000000000,2.660416666666646,0,9622,9622,14.312033411642037,142.564482560055325,548294.000000000000000,542,0,32353,84.4505005,5,1,0.0026000,0,14
15,19401.000000000000000,1.347291666666656,0,9082,9082,24.964331735477636,195.377082817725636,484333.000000000000000,511,0,15620,80.5112991,16,1,0.0052000,0,32
16,12184.000000000000000,0.846111111111104,0,1232,1232,1.547357189757055,24.593161538526754,18853.000000000000000,95,0,11874,97.4557037,15,1,0.0082000,0,0
17,394.000000000000000,0.027361111111111,0,216,216,0.713197969543147,11.235435170858961,281.000000000000000,4,0,390,98.9848022,57,1,0.2538000,0,0
19,596.000000000000000,0.041388888888889,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,596,100.0000000,0,596,100.0000000,0,0
20,10091.000000000000000,0.700763888888883,0,4636,4636,24.471311069269643,171.672135806377213,246940.000000000000000,392,0,8388,83.1235962,1,1,0.0099000,0,17
21,2684.000000000000000,0.186388888888887,0,9843,9843,131.254843517139051,505.113350548933681,352288.000000000000000,417,0,553,20.6035995,5,1,0.0373000,43,254
22,4883.000000000000000,0.339097222222219,0,5445,5445,20.729060004095857,147.261804356734757,101220.000000000000000,235,0,3818,78.1895981,1,1,0.0205000,0,30
23,4701.000000000000000,0.326458333333331,0,8892,8892,56.826419910657357,234.586747288803991,267141.000000000000000,371,0,1503,31.9719009,83,1,0.0213000,12,130
24,9278.000000000000000,0.644305555555550,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,9278,100.0000000,0,9278,100.0000000,0,0
25,9143.000000000000000,0.634930555555550,0,702,702,0.187465820846549,9.021130926433164,1714.000000000000000,15,0,9126,99.8141022,6,1,0.0109000,0,0
26,5541.000000000000000,0.384791666666664,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,5541,100.0000000,0,5541,100.0000000,0,0
27,3594.000000000000000,0.249583333333331,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,3594,100.0000000,0,3594,100.0000000,0,0
28,12829.000000000000000,0.890902777777771,0,6100,6100,9.780809104372924,143.162099836041108,125478.000000000000000,194,0,11333,88.3388977,38,1,0.0078000,0,4
