brickid,latitude,longitude,state,type,schools_1km,hospitals_1km,pop_1km,grids_pop,total_prod(kg_day),pm2.5(kg_day),pm10(kg_day,nox(kg_day),sox(kg_day,total_prod(kg/season),pm2.5(kg_s),pm10(kg_s),nox(kg_s),sox(kg_s)
BKP-1,68.92333001,27.67848629,Sindh,,0,0,5734,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10,69.00539111,25.80037853,Sindh,,0,0,8765,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-100,73.16696655,31.50005183,Punjab,,0,0,1018,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-1000,73.74144403,30.67257113,Punjab,,0,0,495,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10000,72.27785858,33.23614729,Punjab,,0,0,1868,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10001,72.37920785,33.72645918,Punjab,,0,0,3947,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10002,72.62216947,33.45685569,Punjab,,0,0,1029,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10003,72.61630485,33.06250975,Punjab,,0,0,464,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10004,72.60282432,33.08811494,Punjab,,0,0,464,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10005,72.60364567,33.09070936,Punjab,,0,0,464,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10006,72.81987239,33.05843094,Punjab,,0,0,368,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10007,72.8988043,33.10147196,Punjab,,0,0,464,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10008,72.92253172,33.1011172,Punjab,,0,0,548,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10009,72.92350799,33.0984964,Punjab,,0,0,795,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-1001,73.74447023,32.39381621,Punjab,,0,0,1966,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10010,72.62763572,33.47697876,Punjab,,0,0,2467,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10011,72.64171597,33.47807878,Punjab,,0,0,916,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10012,72.63390583,33.48087008,Punjab,,0,0,1520,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10013,72.6351021,33.48268512,Punjab,,0,0,2493,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10014,72.64087721,33.48249261,Punjab,,0,0,708,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10015,72.63885592,33.48714019,Punjab,,0,0,339,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10016,72.6320908,33.48971149,Punjab,,0,0,786,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10017,72.62997326,33.48590267,Punjab,,0,0,1547,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10018,72.62686571,33.48870772,Punjab,,0,0,1493,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10019,72.6645895,33.47786565,Punjab,,0,0,822,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-1002,73.74499238,31.48887023,Punjab,,0,0,993,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10020,72.61748117,33.48004507,Punjab,,0,0,1421,6,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10021,72.64259599,33.51826989,Punjab,,0,0,1370,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10022,72.80425504,33.59851352,Punjab,,0,0,1415,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-10023,72.30409493,32.22964075,Punjab,,0,0,889,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
