latitude,longitude,state,brickid
68.9233300056,27.6784862924,Sindh,BKP-1
68.9290458574,27.6767037782,Sindh,BKP-2
69.0318464919,25.5815489247,Sindh,BKP-3
69.0138801862,25.3080119207,Sindh,BKP-4
69.0187310888,25.4493169149,Sindh,BKP-5
69.0194766905,25.4834259462,Sindh,BKP-6
69.0202582248,25.4518321977,Sindh,BKP-7
69.0073224847,25.8034327999,Sindh,BKP-8
69.006693664,25.8006480225,Sindh,BKP-9
69.0053911068,25.8003785279,Sindh,BKP-10
69.0040304234,25.7979979924,Sindh,BKP-11
69.0058402644,25.7979530766,Sindh,BKP-12
69.0129519271,25.3085808537,Sindh,BKP-13
69.00809029,25.3812949561,Sindh,BKP-14
69.0083876299,25.4573055044,Sindh,BKP-15
69.0103780399,25.4528562771,Sindh,BKP-16
69.0548792958,25.4877288764,Sindh,BKP-17
69.0599188445,25.5289974806,Sindh,BKP-18
69.0619400539,25.5219007898,Sindh,BKP-19
69.0534509745,25.4645818582,Sindh,BKP-20
69.0548433632,25.4603661929,Sindh,BKP-21
69.0561752132,25.4780415225,Sindh,BKP-22
69.0579631056,25.4729083491,Sindh,BKP-23
69.0564246442,25.4710936771,Sindh,BKP-24
69.052597575,25.4658010003,Sindh,BKP-25
69.0486711205,25.4834733119,Sindh,BKP-26
69.0458770538,25.4920430356,Sindh,BKP-27
69.0436144221,25.4916724805,Sindh,BKP-28
69.0491390611,25.4874503987,Sindh,BKP-29
69.0483305774,25.9157671261,Sindh,BKP-30
69.0422669492,25.5012844541,Sindh,BKP-31
69.0364200884,25.5074437723,Sindh,BKP-32
69.0335705314,25.4936034047,Sindh,BKP-33
68.5855634588,27.4345038612,Sindh,BKP-34
68.6308385491,27.3866685724,Sindh,BKP-35
68.6251791628,27.606171912,Sindh,BKP-36
68.4309184826,27.1058102988,Sindh,BKP-37
68.4207226041,27.1005102386,Sindh,BKP-38
68.4415599255,27.1042454336,Sindh,BKP-39
68.4024868039,27.2873598177,Sindh,BKP-40
68.5331018462,27.1102120437,Sindh,BKP-41
68.5307258023,27.0877092458,Sindh,BKP-42
68.5279814491,27.0833973324,Sindh,BKP-43
68.5694964483,27.2090074753,Sindh,BKP-44
68.5666090063,27.3369468214,Sindh,BKP-45
68.5602309678,27.1140747994,Sindh,BKP-46
68.4907013648,27.0758065683,Sindh,BKP-47
67.7603211324,26.8308908874,Sindh,BKP-48
67.8015138788,26.53106818,Sindh,BKP-49
73.0985916484,31.4705715507,Punjab,BKP-50
73.0996628893,31.2898552192,Punjab,BKP-51
73.1011698132,32.9286450547,Punjab,BKP-52
73.095106185,31.6621552514,Punjab,BKP-53
73.1030685251,31.6424780634,Punjab,BKP-54
73.1009721839,32.9289325156,Punjab,BKP-55
73.0890874726,30.5864226986,Punjab,BKP-56
73.0929880522,30.6156439492,Punjab,BKP-57
73.1032808541,30.3101907488,Punjab,BKP-58
73.1068741153,31.3248490911,Punjab,BKP-59
73.1075582169,32.4492003673,Punjab,BKP-60
73.1063932524,31.3772017169,Punjab,BKP-61
73.1190830366,33.0560465782,Punjab,BKP-62
73.11460371,33.1658839963,Punjab,BKP-63
73.1084551502,33.1678065272,Punjab,BKP-64
73.1104259157,33.1667158803,Punjab,BKP-65
73.0675279058,32.3649971297,Punjab,BKP-66
73.060071889,31.1198423143,Punjab,BKP-67
73.0568828697,31.1182253468,Punjab,BKP-68
73.0612396988,31.3909538671,Punjab,BKP-69
73.0622278457,31.2942951425,Punjab,BKP-70
73.0535458926,30.6749305331,Punjab,BKP-71
73.1163333752,31.4769495892,Punjab,BKP-72
73.1177565633,31.3499380745,Punjab,BKP-73
73.1159470996,31.33705495,Punjab,BKP-74
73.0647318995,30.6026485185,Punjab,BKP-75
73.0765688075,31.0224617293,Punjab,BKP-76
73.0762715079,31.0224499656,Punjab,BKP-77
73.080643309,30.8912210745,Punjab,BKP-78
73.0823201642,32.2209597598,Punjab,BKP-79
73.0707079419,30.304854756,Punjab,BKP-80
73.0700224583,31.7565301821,Punjab,BKP-81
73.0692183719,32.188163766,Punjab,BKP-82
73.0722119784,33.2184672315,Punjab,BKP-83
73.0705821778,32.1997969489,Punjab,BKP-84
73.0716760088,32.2978903358,Punjab,BKP-85
73.0739957759,32.9267136768,Punjab,BKP-86
73.0734384121,32.9262175618,Punjab,BKP-87
73.0773644582,30.6378961644,Punjab,BKP-88
73.0794854804,30.5863129045,Punjab,BKP-89
73.08158654,31.4365882835,Punjab,BKP-90
73.0880544101,31.4444036265,Punjab,BKP-91
73.0872010105,31.3994878623,Punjab,BKP-92
