OBJECTID,Id,x,y
"1","1",77.2271169616,29.0057420019
"2","0",77.2244237010,29.0016152111
"3","0",77.2261233539,28.9986169930
"4","0",77.2258227669,28.9958783839
"5","1",77.2240943912,28.9926138672
"6","0",77.2292651578,28.9895236557
"7","0",77.2338073632,28.9896451858
"8","0",77.2360761285,28.9945930387
"9","0",77.2363516670,28.9935925030
"10","0",77.2421045706,28.9930666703
"11","0",77.2421329592,28.9976985809
"12","1",77.2424218574,28.9995079380
"13","1",77.2432401220,28.9890863214
"14","0",77.2434488635,28.9874649237
"15","0",77.2455780225,28.9876256045
"16","0",77.2452857844,28.9867418602
"17","0",77.2392155940,28.9873042434
"18","0",77.2360093316,28.9797373759
"19","0",77.2350240738,28.9788024348
"20","0",77.2432776958,28.9823367232
"21","0",77.2476263565,28.9782440957
"22","0",77.2443083545,28.9669022850
"23","0",77.2370105714,28.9639773502
"24","0",77.2378463504,28.9603567372
"25","0",77.2516672931,28.9600535271
"26","0",77.2526661514,28.9481563021
"27","0",77.2348628208,28.9595776647
"28","0",77.2331928922,28.9571804814
"29","0",77.2303227030,28.9556964832
"30","0",77.2289789320,28.9669515089
"31","0",77.2328307705,28.9726036301
"32","0",77.2292789972,28.9732177215
"33","0",77.2259652325,28.9616437638
"34","0",77.2199769730,28.9600114351
"35","1",77.2224688196,28.9572375582
"36","1",77.2179417481,28.9560389464
"37","0",77.2245040454,28.9526599281
"38","0",77.2216469016,28.9528425809
"39","0",77.2354582547,29.0028525647
"40","0",77.2362598205,29.0102863041
"41","0",77.2400004611,29.0102278880
"42","0",77.2395579294,29.0127689662
"43","0",77.2428863061,29.0106130702
"44","0",77.2432907420,29.0092781624
"45","1",77.2326971327,29.0105902507
"46","0",77.2417789349,29.0226552113
"47","0",77.2400672580,29.0209540274
"48","0",77.2409606694,29.0199975552
"49","0",77.2421964170,29.0197128018
"50","0",77.2368943932,29.0221368279
"51","0",77.2349238775,29.0198515278
"52","0",77.2283026111,29.0229107522
"53","0",77.2290123305,29.0215892370
"54","0",77.2286950438,29.0208518093
"55","0",77.2255347041,29.0277143360
"56","1",77.2240865633,29.0304977299
"57","0",77.2235255717,29.0328818070
"58","1",77.2208119373,29.0283987843
"59","0",77.2153439649,29.0337742810
"60","0",77.2177319627,29.0280652300
"61","0",77.2163876707,29.0283791633
"62","0",77.2123709698,29.0330757242
"63","0",77.2089006503,29.0311365308
"64","0",77.2065351894,29.0382700166
"65","0",77.2092667623,29.0376105858
"66","1",77.2148318318,29.0376996978
"67","0",77.2180200255,29.0381174570
"68","0",77.2223253102,29.0360300729
"69","0",77.2249867587,29.0372619768
"70","0",77.2222731252,29.0422350694
"71","0",77.1978112805,29.0530815105
"72","1",77.2000813394,29.0535262923
"73","0",77.2005249140,29.0524428446
"74","0",77.1980591607,29.0514848400
"75","0",77.2019078237,29.0530130819
"76","0",77.2044909948,29.0514848400
"77","0",77.2048301987,29.0508461643
"78","0",77.2078047596,29.0564230335
"79","0",77.2048041062,29.0483826662
"80","0",77.2073220453,29.0486563909
"81","0",77.2022339822,29.0463753282
"82","0",77.2098921703,29.0500592202
"83","0",77.2103096524,29.0490783825
"84","0",77.2116925621,29.0480747252
"85","0",77.2114968668,29.0472991644
"86","0",77.1987897542,29.0440714029
"87","0",77.2047388751,29.0443793559
"88","0",77.1956325452,29.0416761784
"89","0",77.1963631388,29.0416761784
"90","0",77.1937277827,29.0434326813
"91","0",77.2036951692,29.0427597392
"92","0",77.1945757941,29.0497740942
"93","0",77.1990115411,29.0594451373
"94","0",77.2015033878,29.0572441423
"95","0",77.2110355496,29.0629497541
"96","0",77.2085974536,29.0617601228
"97","0",77.2073700558,29.0663507111
"98","0",77.2118454643,29.0693866630
"99","0",77.2227166998,29.0715440692
"100","0",77.2193377040,29.0752612686
"101","0",77.2456390792,29.0653636424
"102","0",77.2469958955,29.0636075122
"103","0",77.2553324922,29.0642689157
"104","0",77.2446178133,29.0616433488
"105","0",77.2424035919,29.0576546939
"106","0",77.2365066569,29.0580880527
"107","0",77.2338050258,29.0637671621
"108","0",77.2331203551,29.0620009697
"109","0",77.2570671310,29.0648545959
"110","0",77.2382132781,29.0436344212
"111","0",77.2413933178,29.0466818489
"112","0",77.2443491245,29.0428680943
"113","0",77.2399663772,29.0403373950
"114","0",77.2374386536,29.0400700639
"115","0",77.2421883277,29.0377531653
"116","0",77.2494094648,29.0331897933
"117","0",77.2517838944,29.0322658307
"118","0",77.2408902199,29.0244859620
"119","0",77.2431472326,29.0295281135
"120","0",77.2471524521,29.0279424860
"121","0",77.2538973976,29.0278626333
"122","0",77.2556325583,29.0290375982
"123","0",77.2457964497,29.0165422194
"124","0",77.2476310889,29.0170948284
"125","0",77.2485484080,29.0167026546
"126","0",77.2506072793,29.0154904706
"127","0",77.2484260988,29.0144387111
"128","0",77.2503626608,29.0127273513
"129","0",77.2523196083,29.0134225946
"130","0",77.2063924956,29.0166848280
"131","1",77.2125894958,29.0083062067
"132","0",77.2177468685,29.0075217909
"133","1",77.2209065236,29.0120321032
"134","0",77.2215588388,29.0156509075
"135","1",77.2246165693,29.0134225946
"136","0",77.2144241341,29.0178435202
"137","0",77.2079613152,28.9995910072
"138","0",77.2091354834,29.0011428388
"139","0",77.2058347649,29.0092211142
"140","0",77.2174329414,29.0210749549
"141","1",77.2177590990,29.0190214514
"142","0",77.2111707092,29.0233908014
"143","0",77.2102966062,29.0223754854
"144","1",77.2299892385,29.0164855460
"145","0",77.2286136348,28.9757172528
"146","0",77.2096051514,29.0566169072
"147","0",77.2111968017,29.0571871214
"148","0",77.2148889098,29.0572099298
"149","0",77.2208213310,29.0532863389
"150","0",77.2202953036,29.0492937114
"151","1",77.2190929544,29.0464615528
"152","0",77.1959350565,29.0727684223
"153","0",77.2032124559,29.0784695266
"154","0",77.1721345623,29.0997704492
"155","0",77.1766266705,29.1009377552
"156","0",77.1795406957,29.1003176259
"157","0",77.1720119898,29.1298657810
"158","0",77.1821224053,29.1513684722
"159","0",77.1744641130,29.1619693882
"160","0",77.1630751999,29.1657680805
"161","0",77.1655941200,29.1711635852
"162","0",77.1654070881,29.1774298418
"163","0",77.1727357373,29.1788910777
"164","0",77.1751237351,29.1866579166
"165","0",77.1643860944,29.1908461251
"166","0",77.1890311092,29.2089227544
"167","0",77.1992291544,29.2069249244
"168","0",77.2055498337,29.1965024186
"169","0",77.1981937984,29.1950592185
"170","0",77.1970331975,29.1935649750
"171","0",77.1953716188,29.1869390190
"172","0",77.1983070400,29.1643882457
"173","0",77.2079091294,29.1586691158
"174","0",77.2074118041,29.1392836809
"175","0",77.2063513995,29.1364758754
"176","0",77.2123464431,29.1397212541
"177","0",77.2107433114,29.1379928295
"178","0",77.2197859750,29.1323406051
"179","0",77.2192098495,29.1302765540
"180","0",77.2378765204,29.1137708620
"181","0",77.2401857179,29.1097814900
"182","0",77.2422339900,29.1101348407
"183","0",77.2433951128,29.1050624333
"184","0",77.2280688210,29.1085686905
"185","0",77.2070651963,29.0895501456
