OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1,4.000000000000000,0.000277777777778,796,2502,1706,1682.000000000000000,607.787791914250306,6728.000000000000000,4,796,1,25.0000000,796,1,25.0000000,1620,2502
2,4.000000000000000,0.000277777777778,52,2203,2151,746.500000000000000,862.798499071480819,2986.000000000000000,4,52,1,25.0000000,52,1,25.0000000,161,2203
3,5.000000000000000,0.000347222222222,174,1299,1125,686.000000000000000,398.337545305485833,3430.000000000000000,5,174,1,20.0000000,174,1,20.0000000,537,1299
4,3.000000000000000,0.000208333333333,453,1299,846,906.333333333333258,348.031927015643532,2719.000000000000000,3,453,1,33.3333015,453,1,33.3333015,967,1299
5,4.000000000000000,0.000277777777778,453,1299,846,814.000000000000000,341.205216841712399,3256.000000000000000,4,453,1,25.0000000,453,1,25.0000000,537,1299
6,4.000000000000000,0.000277777777778,40,759,719,338.000000000000000,280.277541019611476,1352.000000000000000,4,40,1,25.0000000,40,1,25.0000000,134,759
7,3.000000000000000,0.000208333333333,1007,3338,2331,2010.333333333333485,978.871572554620457,6031.000000000000000,3,1007,1,33.3333015,1007,1,33.3333015,1686,3338
8,4.000000000000000,0.000277777777778,250,18653,18403,6740.250000000000000,7072.082415208409657,26961.000000000000000,4,250,1,25.0000000,250,1,25.0000000,3217,18653
9,4.000000000000000,0.000277777777778,200,2058,1858,1137.500000000000000,763.081417674418276,4550.000000000000000,4,200,1,25.0000000,200,1,25.0000000,597,2058
10,3.000000000000000,0.000208333333333,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,3,100.0000000,0,3,100.0000000,0,0
11,4.000000000000000,0.000277777777778,603,1102,499,828.500000000000000,183.622574864856972,3314.000000000000000,4,603,1,25.0000000,603,1,25.0000000,741,1102
12,4.000000000000000,0.000277777777778,480,2095,1615,1172.500000000000000,599.293959589115161,4690.000000000000000,4,480,1,25.0000000,480,1,25.0000000,858,2095
13,4.000000000000000,0.000277777777778,28,2283,2255,1019.250000000000000,925.784363391389320,4077.000000000000000,4,28,1,25.0000000,28,1,25.0000000,246,2283
14,4.000000000000000,0.000277777777778,28,2283,2255,1019.250000000000000,925.784363391389320,4077.000000000000000,4,28,1,25.0000000,28,1,25.0000000,246,2283
15,4.000000000000000,0.000277777777778,710,1545,835,1015.750000000000000,335.561749161015086,4063.000000000000000,4,710,1,25.0000000,710,1,25.0000000,743,1545
16,4.000000000000000,0.000277777777778,76,595,519,230.250000000000000,212.057038317524359,921.000000000000000,4,76,1,25.0000000,76,1,25.0000000,104,595
17,4.000000000000000,0.000277777777778,14,2281,2267,822.500000000000000,864.890889072141817,3290.000000000000000,4,14,1,25.0000000,14,1,25.0000000,497,2281
18,5.000000000000000,0.000347222222222,14,2281,2267,688.799999999999955,818.493591911384442,3444.000000000000000,5,14,1,20.0000000,14,1,20.0000000,497,2281
19,5.000000000000000,0.000347222222222,33,582,549,364.000000000000000,227.665544165119542,1820.000000000000000,5,33,1,20.0000000,33,1,20.0000000,490,582
20,4.000000000000000,0.000277777777778,66,1487,1421,562.500000000000000,570.085300634913779,2250.000000000000000,4,66,1,25.0000000,66,1,25.0000000,117,1487
21,4.000000000000000,0.000277777777778,102,2169,2067,760.750000000000000,831.855268361029289,3043.000000000000000,4,102,1,25.0000000,102,1,25.0000000,199,2169
22,4.000000000000000,0.000277777777778,0,3174,3174,899.750000000000000,1323.978167304884209,3599.000000000000000,4,0,1,25.0000000,0,1,25.0000000,6,3174
23,4.000000000000000,0.000277777777778,907,5068,4161,2037.500000000000227,1754.884682821068054,8150.000000000000000,4,907,1,25.0000000,907,1,25.0000000,927,5068
24,3.000000000000000,0.000208333333333,61,571,510,341.666666666666686,211.347002712495453,1025.000000000000000,3,61,1,33.3333015,61,1,33.3333015,393,571
25,3.000000000000000,0.000208333333333,61,571,510,305.666666666666629,208.718843316926126,917.000000000000000,3,61,1,33.3333015,61,1,33.3333015,285,571
26,3.000000000000000,0.000208333333333,523,1682,1159,1065.000000000000000,476.122533248182492,3195.000000000000000,3,523,1,33.3333015,523,1,33.3333015,990,1682
27,3.000000000000000,0.000208333333333,853,2835,1982,1571.000000000000000,896.537041435916649,4713.000000000000000,3,853,1,33.3333015,853,1,33.3333015,1025,2835
28,4.000000000000000,0.000277777777778,507,2995,2488,1229.750000000000000,1024.756403980965615,4919.000000000000000,4,507,1,25.0000000,507,1,25.0000000,612,2995
29,4.000000000000000,0.000277777777778,507,2995,2488,1229.750000000000000,1024.756403980965615,4919.000000000000000,4,507,1,25.0000000,507,1,25.0000000,612,2995
30,4.000000000000000,0.000277777777778,507,2995,2488,1229.750000000000000,1024.756403980965615,4919.000000000000000,4,507,1,25.0000000,507,1,25.0000000,612,2995
31,4.000000000000000,0.000277777777778,14,498,484,254.000000000000000,212.433519012419509,1016.000000000000000,4,14,1,25.0000000,14,1,25.0000000,74,498
32,5.000000000000000,0.000347222222222,308,4095,3787,1253.400000000000091,1427.641495614357837,6267.000000000000000,5,308,1,20.0000000,308,1,20.0000000,616,4095
33,5.000000000000000,0.000347222222222,23,429,406,178.400000000000006,142.645855179882489,892.000000000000000,5,23,1,20.0000000,23,1,20.0000000,131,429
34,4.000000000000000,0.000277777777778,12,1620,1608,452.500000000000000,676.925586752340223,1810.000000000000000,4,12,1,25.0000000,12,1,25.0000000,13,1620
35,3.000000000000000,0.000208333333333,200,1227,1027,795.666666666666629,435.075727763442217,2387.000000000000000,3,200,1,33.3333015,200,1,33.3333015,960,1227
36,4.000000000000000,0.000277777777778,2,1280,1278,540.500000000000000,484.004906999918774,2162.000000000000000,4,2,1,25.0000000,2,1,25.0000000,240,1280
37,3.000000000000000,0.000208333333333,185,777,592,531.666666666666742,252.081115692724779,1595.000000000000000,3,185,1,33.3333015,185,1,33.3333015,633,777
38,3.000000000000000,0.000208333333333,1147,3676,2529,2451.666666666666515,1034.021383832182664,7355.000000000000000,3,1147,1,33.3333015,1147,1,33.3333015,2532,3676
39,4.000000000000000,0.000277777777778,536,4355,3819,2365.250000000000000,1725.002373186773411,9461.000000000000000,4,536,1,25.0000000,536,1,25.0000000,771,4355
40,4.000000000000000,0.000277777777778,536,4355,3819,2365.250000000000000,1725.002373186773411,9461.000000000000000,4,536,1,25.0000000,536,1,25.0000000,771,4355
41,4.000000000000000,0.000277777777778,344,1071,727,701.750000000000000,307.280307699663695,2807.000000000000000,4,344,1,25.0000000,344,1,25.0000000,458,1071
42,4.000000000000000,0.000277777777778,86,1424,1338,749.250000000000000,510.824517324687520,2997.000000000000000,4,86,1,25.0000000,86,1,25.0000000,471,1424
43,4.000000000000000,0.000277777777778,2,280,278,111.250000000000014,108.044840228490330,445.000000000000000,4,2,1,25.0000000,2,1,25.0000000,34,280
44,4.000000000000000,0.000277777777778,614,1759,1145,907.750000000000000,491.607249234589688,3631.000000000000000,4,614,1,25.0000000,614,1,25.0000000,615,1759
45,4.000000000000000,0.000277777777778,9,1077,1068,479.750000000000057,475.373208647689864,1919.000000000000000,4,9,1,25.0000000,9,1,25.0000000,18,1077
46,4.000000000000000,0.000277777777778,189,4103,3914,1802.500000000000227,1500.679429458537015,7210.000000000000000,4,189,1,25.0000000,189,1,25.0000000,797,4103
47,4.000000000000000,0.000277777777778,465,3256,2791,1201.500000000000000,1186.950820379682000,4806.000000000000000,4,465,1,25.0000000,465,1,25.0000000,501,3256
48,4.000000000000000,0.000277777777778,465,738,273,572.000000000000000,105.107088248129131,2288.000000000000000,4,465,1,25.0000000,465,1,25.0000000,501,738
49,4.000000000000000,0.000277777777778,427,1301,874,882.000000000000000,320.763152497290434,3528.000000000000000,4,427,1,25.0000000,427,1,25.0000000,781,1301
50,4.000000000000000,0.000277777777778,427,1301,874,882.000000000000000,320.763152497290434,3528.000000000000000,4,427,1,25.0000000,427,1,25.0000000,781,1301
51,4.000000000000000,0.000277777777778,404,913,509,718.500000000000000,199.752972443465779,2874.000000000000000,4,404,1,25.0000000,404,1,25.0000000,690,913
52,4.000000000000000,0.000277777777778,27,84,57,56.250000000000000,23.847169643376969,225.000000000000000,4,27,1,25.0000000,27,1,25.0000000,39,84
53,4.000000000000000,0.000277777777778,327,1745,1418,750.500000000000000,577.123253733550428,3002.000000000000000,4,327,1,25.0000000,327,1,25.0000000,444,1745
54,4.000000000000000,0.000277777777778,327,1745,1418,750.500000000000000,577.123253733550428,3002.000000000000000,4,327,1,25.0000000,327,1,25.0000000,444,1745
55,4.000000000000000,0.000277777777778,63,1975,1912,667.250000000000000,762.070329759662059,2669.000000000000000,4,63,1,25.0000000,63,1,25.0000000,305,1975
56,4.000000000000000,0.000277777777778,52,573,521,251.500000000000000,216.719288481667007,1006.000000000000000,4,52,1,25.0000000,52,1,25.0000000,54,573
57,5.000000000000000,0.000347222222222,447,3656,3209,1167.400000000000091,1248.005224348039292,5837.000000000000000,5,447,1,20.0000000,447,1,20.0000000,504,3656
58,4.000000000000000,0.000277777777778,795,5183,4388,2061.000000000000000,1814.811284954995017,8244.000000000000000,4,795,1,25.0000000,795,1,25.0000000,907,5183
59,4.000000000000000,0.000277777777778,483,1393,910,998.000000000000000,328.689823389772755,3992.000000000000000,4,483,1,25.0000000,483,1,25.0000000,1015,1393
60,5.000000000000000,0.000347222222222,53,1476,1423,407.199999999999989,539.020370672574813,2036.000000000000000,5,53,1,20.0000000,53,1,20.0000000,196,1476
61,3.000000000000000,0.000208333333333,53,196,143,107.333333333333343,63.226225219884476,322.000000000000000,3,53,1,33.3333015,53,1,33.3333015,73,196
62,4.000000000000000,0.000277777777778,384,1792,1408,1097.000000000000000,579.731834558013588,4388.000000000000000,4,384,1,25.0000000,384,1,25.0000000,686,1792
63,4.000000000000000,0.000277777777778,53,898,845,509.500000000000000,303.140643926214580,2038.000000000000000,4,53,1,25.0000000,53,1,25.0000000,489,898
64,4.000000000000000,0.000277777777778,53,898,845,509.500000000000000,303.140643926214580,2038.000000000000000,4,53,1,25.0000000,53,1,25.0000000,489,898
65,4.000000000000000,0.000277777777778,24,2257,2233,742.250000000000000,891.453412972321303,2969.000000000000000,4,24,1,25.0000000,24,1,25.0000000,184,2257
66,5.000000000000000,0.000347222222222,330,1219,889,679.200000000000045,349.549653125274915,3396.000000000000000,5,330,1,20.0000000,330,1,20.0000000,453,1219
67,3.000000000000000,0.000208333333333,453,1219,766,879.666666666666629,318.757309284386793,2639.000000000000000,3,453,1,33.3333015,453,1,33.3333015,967,1219
68,4.000000000000000,0.000277777777778,321,35388,35067,11595.000000000000000,13939.944278941720768,46380.000000000000000,4,321,1,25.0000000,321,1,25.0000000,3645,35388
69,4.000000000000000,0.000277777777778,3967,15328,11361,7089.500000000000000,4764.085877689444715,28358.000000000000000,4,3967,1,25.0000000,3967,1,25.0000000,4336,15328
