GID_2,GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2,HASC_2
IND.5.1_1,IND,India,IND.5_1,Bihar,Araria,District,District,IN.BR.AR
IND.5.2_1,IND,India,IND.5_1,Bihar,Arwal,District,District,IN.BR.AW
IND.5.3_1,IND,India,IND.5_1,Bihar,Aurangabad,District,District,IN.BR.AU
IND.5.4_1,IND,India,IND.5_1,Bihar,Banka,District,District,IN.BR.BA
IND.5.5_1,IND,India,IND.5_1,Bihar,Begusarai,District,District,IN.BR.BE
IND.5.6_1,IND,India,IND.5_1,Bihar,Bhagalpur,District,District,IN.BR.BG
IND.5.7_1,IND,India,IND.5_1,Bihar,Bhojpur,District,District,IN.BR.BJ
IND.5.8_1,IND,India,IND.5_1,Bihar,Buxar,District,District,IN.BR.BU
IND.5.9_1,IND,India,IND.5_1,Bihar,Darbhanga,District,District,IN.BR.DA
IND.5.10_1,IND,India,IND.5_1,Bihar,Gaya,District,District,IN.BR.GA
IND.5.11_1,IND,India,IND.5_1,Bihar,Gopalganj,District,District,IN.BR.GO
IND.5.12_1,IND,India,IND.5_1,Bihar,Jamui,District,District,IN.BR.JA
IND.5.13_1,IND,India,IND.5_1,Bihar,Jehanabad,District,District,IN.BR.JH
IND.5.14_1,IND,India,IND.5_1,Bihar,Kaimur,District,District,IN.BR.KM
IND.5.15_1,IND,India,IND.5_1,Bihar,Katihar,District,District,IN.BR.KT
IND.5.16_1,IND,India,IND.5_1,Bihar,Khagaria,District,District,IN.BR.KH
IND.5.17_1,IND,India,IND.5_1,Bihar,Kishanganj,District,District,IN.BR.KI
IND.5.18_1,IND,India,IND.5_1,Bihar,Lakhisarai,District,District,IN.BR.LA
IND.5.19_1,IND,India,IND.5_1,Bihar,Madhepura,District,District,IN.BR.MP
IND.5.20_1,IND,India,IND.5_1,Bihar,Madhubani,District,District,IN.BR.MB
IND.5.21_1,IND,India,IND.5_1,Bihar,Munger,District,District,IN.BR.MG
IND.5.22_1,IND,India,IND.5_1,Bihar,Muzaffarpur,District,District,IN.BR.MZ
IND.5.23_1,IND,India,IND.5_1,Bihar,Nalanda,District,District,IN.BR.NL
IND.5.24_1,IND,India,IND.5_1,Bihar,Nawada,District,District,IN.BR.NW
IND.5.25_1,IND,India,IND.5_1,Bihar,Pashchim Champaran,District,District,IN.BR.WC
IND.5.26_1,IND,India,IND.5_1,Bihar,Patna,District,District,IN.BR.PA
IND.5.27_1,IND,India,IND.5_1,Bihar,Purba Champaran,District,District,IN.BR.EC
IND.5.28_1,IND,India,IND.5_1,Bihar,Purnia,District,District,IN.BR.PU
IND.5.29_1,IND,India,IND.5_1,Bihar,Rohtas,District,District,IN.BR.RO
IND.5.30_1,IND,India,IND.5_1,Bihar,Saharsa,District,District,IN.BR.SH
IND.5.31_1,IND,India,IND.5_1,Bihar,Samastipur,District,District,IN.BR.SM
IND.5.32_1,IND,India,IND.5_1,Bihar,Saran,District,District,IN.BR.SR
IND.5.33_1,IND,India,IND.5_1,Bihar,Sheikhpura,District,District,IN.BR.SP
IND.5.34_1,IND,India,IND.5_1,Bihar,Sheohar,District,District,IN.BR.SO
IND.5.35_1,IND,India,IND.5_1,Bihar,Sitamarhi,District,District,IN.BR.ST
IND.5.36_1,IND,India,IND.5_1,Bihar,Siwan,District,District,IN.BR.SW
IND.5.37_1,IND,India,IND.5_1,Bihar,Supaul,District,District,IN.BR.SU
IND.5.38_1,IND,India,IND.5_1,Bihar,Vaishali,District,District,IN.BR.VA
IND.6.1_1,IND,India,IND.6_1,Chandigarh,Chandigarh,District,District,IN.CH.CH
IND.7.3_1,IND,India,IND.7_1,Chhattisgarh,Balrampur,District,District,IN.CT.BP
IND.12.1_1,IND,India,IND.12_1,Haryana,Ambala,District,District,IN.HR.AM
IND.12.2_1,IND,India,IND.12_1,Haryana,Bhiwani,District,District,IN.HR.BH
IND.12.3_1,IND,India,IND.12_1,Haryana,Faridabad,District,District,IN.HR.FD
IND.12.4_1,IND,India,IND.12_1,Haryana,Fatehabad,District,District,IN.HR.FT
IND.12.5_1,IND,India,IND.12_1,Haryana,Gurgaon,District,District,IN.HR.GG
IND.12.6_1,IND,India,IND.12_1,Haryana,Hisar,District,District,IN.HR.HI
IND.12.7_1,IND,India,IND.12_1,Haryana,Jhajjar,District,District,IN.HR.JH
IND.12.8_1,IND,India,IND.12_1,Haryana,Jind,District,District,IN.HR.JI
IND.12.9_1,IND,India,IND.12_1,Haryana,Kaithal,District,District,IN.HR.KT
IND.12.10_1,IND,India,IND.12_1,Haryana,Karnal,District,District,IN.HR.KR
IND.12.11_1,IND,India,IND.12_1,Haryana,Kurukshetra,District,District,IN.HR.KU
IND.12.12_1,IND,India,IND.12_1,Haryana,Mahendragarh,District,District,IN.HR.MA
IND.12.13_1,IND,India,IND.12_1,Haryana,Mewat,District,District,IN.HR.MW
