GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,NAME_3,TYPE_3,ENGTYPE_3
Z06,Pakistan,Z06.1_1,Azad Kashmir,Z06.1.1_1,Azad Kashmir,Bhimber,District,District
Z06,Pakistan,Z06.1_1,Azad Kashmir,Z06.1.1_1,Azad Kashmir,Kotli,District,District
Z06,Pakistan,Z06.1_1,Azad Kashmir,Z06.1.1_1,Azad Kashmir,Mirpur,District,District
Z06,Pakistan,Z06.1_1,Azad Kashmir,Z06.1.1_1,Azad Kashmir,Sudhnati,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.1_1,Kalat,Disputed Area 1,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.1_1,Kalat,Disputed Area 2,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.1_1,Kalat,Kalat,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.1_1,Kalat,Khuzdar,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.1_1,Kalat,Lasbela,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.3_1,Nasirabad,Bolan,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.3_1,Nasirabad,Jafarabad,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.3_1,Nasirabad,Jhal Magsi,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.3_1,Nasirabad,Nasirabad,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.5_1,Sibi,Dera Bugti,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.5_1,Sibi,Kholu,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.5_1,Sibi,Sibi,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.5_1,Sibi,Ziarat,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.6_1,Zhob,Barkhan,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.6_1,Zhob,Loralai,District,District
PAK,Pakistan,PAK.2_1,Balochistan,PAK.2.6_1,Zhob,Musakhel,District,District
PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,PAK.3.1_1,F.A.T.A.,Bajaur,District,District
PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,PAK.3.1_1,F.A.T.A.,Khyber,District,District
PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,PAK.3.1_1,F.A.T.A.,Mohmand,District,District
PAK,Pakistan,PAK.3_1,Federally Administered Tribal Ar,PAK.3.1_1,F.A.T.A.,Orakzai,District,District
PAK,Pakistan,PAK.4_1,Islamabad,PAK.4.1_1,Islamabad,Islamabad,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.3_1,F.A.T.A.,Adam Khel,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.4_1,Hazara,Abbottabad,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.4_1,Hazara,Haripur,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.4_1,Hazara,Mansehra,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.5_1,Kohat,Hangu,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.5_1,Kohat,Karak,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.5_1,Kohat,Kohat,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.6_1,Malakand,Malakand P.A.,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.6_1,Malakand,Shangla,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.6_1,Malakand,Swat,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.7_1,Mardan,Buner,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.7_1,Mardan,Mardan,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.7_1,Mardan,Swabi,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.8_1,Peshawar,Charsadda,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.8_1,Peshawar,Nowshera,District,District
PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,PAK.5.8_1,Peshawar,Peshawar,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.1_1,Bahawalpur,Bahawalnagar,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.1_1,Bahawalpur,Bahawalpur,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.1_1,Bahawalpur,Rahimyar Khan,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.2_1,Dera Ghazi Khan,Dera Ghazi Kha,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.2_1,Dera Ghazi Khan,Layyah,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.2_1,Dera Ghazi Khan,Muzaffargarh,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.2_1,Dera Ghazi Khan,Rajan Pur,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.3_1,Faisalabad,Faisalabad,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.3_1,Faisalabad,Jhang,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.3_1,Faisalabad,Toba Tek Singh,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Gujarat,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Gujranwala 1,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Gujranwala 2,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Gujrat,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Hafizabad,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Narowal 1,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Narowal 2,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.4_1,Gujranwala,Sialkot,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Kasur,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Lahore,District,District
