id,name,lat,lon,type,fuel,region,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,source
1,Manoj Khadya Udhyog,27.047266,84.818535,,,"Bindabasini Rural Municipality, Parsa",Nepal,,,,,,,,,,,
2,Kohinoor Textile Ind. Pvt. Ltd.,27.013437,84.870421,,,"Chhata Pipra, Bara",Nepal,,,,,,,,,,,
3,Nepal Dairy Pvt. Ltd.,27.676231,85.317832,,,"Dhapakhel, Hattiban, Lalitpur, Nepal",Nepal,,,,,,,,,,,
4,Shree Nawaprabhat Dairy Pvt ltd,27.661551,85.324829,,,"Patan industrial area,lalitpur mp-15,lalitpur ,bagmati province",Nepal,,,,,,,,,,,
5,Sungreen Plywood Industries pvt. ltd.,26.486374,87.274291,,,Dharan-8,Nepal,,,,,,,,,,,
6,Surya Kattha Udhyog Pvt. Ltd.,26.790963,87.290287,,,Dharan 8,Nepal,,,,,,,,,,,
7,Dolphin Group,28.132722,81.679435,,,lakhnawar-7 kohalpur,Nepal,,,,,,,,,,,
8,Green Tyres Ltd.,26.469094,87.320702,,,"Kathari, Morang",Nepal,,,,,,,,,,,
9,Tricot Industries Pvt Ltd,26.425166,87.270365,,,"Rani, Biratnagar, Nepal",Nepal,,,,,,,,,,,
10,Ganapati Vanaspati Ltd,27.149858,84.972717,,,"Pipra, Simara, Bara",Nepal,,,,,,,,,,,
11,Jun Chiyabari Tea Garden Pvt. Ltd.,27.01895465307681,87.31719877958999,,,"Dhankuta-1, Hile",Nepal,,,,,,,,,,,
12,Dwarika's Kathmandu Village Hotel Pvt. Ltd,27.707393,85.343192,,,"Battisputali , Kathmandu, Nepal",Nepal,,,,,,,,,,,
13,Deurali Janta Pharmaceuticals Pvt. Ltd,27.749903,85.338085,,,"Dhapasi, Kathmandu, Nepal",Nepal,,,,,,,,,,,
14,Pragati Textile Industries Pvt. Ltd,26.610095,87.274126,,,"Itahari-13, Khanar, Sunsari, Nepal.",Nepal,,,,,,,,,,,
15,Nepal Pharmaceuticals Laboratory Pvt. Ltd.,27.123425,84.953001,,,Jeetpur,Nepal,,,,,,,,,,,
16,Aadhunik Dairy Products Pvt. Ltd.,27.670421,85.312107,,,"Balaju, Kathmandu",Nepal,,,,,,,,,,,
17,Green Nepal Agro Pvt. Ltd.,27.618752,85.301675,,,"Bungmati, Lalitpur -22",Nepal,,,,,,,,,,,
18,National Healthcare Pvt. Ltd.,27.107537,84.944954,,,"Chhatapipra, Bara, Nepal",Nepal,,,,,,,,,,,
19,Ritika Dairy Udhyog Pvt. Ltd.,26.68396,88.049718,,,"Mechinagar-12, Jhapa",Nepal,,,,,,,,,,,
20,Hygen Packs (Nepal) Pvt Ltd,26.611286,87.745576,,,"Samaygadh, Kamal Rural Municipality - 2, Jhapa",Nepal,,,,,,,,,,,
21,Bhaktapur Dairy Pvt. Ltd,27.675323,85.423987,,,Bhaktapur Industrial Area,Nepal,,,,,,,,,,,
22,Bhaktapur Ceramics,27.675074,85.423231,,,Bhaktapur,Nepal,,,,,,,,,,,
23,Kriti Textiles,27.673853,85.426021,,,Bhaktapur,Nepal,,,,,,,,,,,
24,Shivam Dairy Pvt. Ltd.,27.673776,85.426812,,,Bhaktapur,Nepal,,,,,,,,,,,
25,Aakash food,27.662188,85.324862,,,Patan,Nepal,,,,,,,,,,,
26,Shree Textiles,27.66338,85.326599,,,Patan,Nepal,,,,,,,,,,,
27,Samyukta Dairy and Foods Pvt. Ltd,27.664009,85.327062,,,Patan,Nepal,,,,,,,,,,,
28,JAYSANJIVANI DAIRY UDHYOG,27.67444,85.426782,,,Bhaktapur Industrial Estate,Nepal,,,,,,,,,,,
29,Agro Thai Foods,27.664686,85.327522,,,Patan,Nepal,,,,,,,,,,,
30,Rajdhani Dairy Pvt. Ltd.,27.665818,85.327051,,,Patan,Nepal,,,,,,,,,,,
31,Husk Power Nepal Pvt. Ltd.,27.0746,84.9051,,,"Birgunj-21, Parsa",Nepal,,,,,,,,,,,
32,G.pac lubricants pvt ltd,27.731863,85.300741,,,Balaju industrial area kathmandu,Nepal,,,,,,,,,,,
33,Fishtail Dairy Pvt Ltd,28.204489,84.008893,,,"Pokhara Industrial Area, Kundhar, Pokhara",Nepal,,,,,,,,,,,
34,Jaya Maa Kamakhya Industries Pvt. Ltd.,26.63756540846262,88.10843689422093,,,"Mechinagar-15, Jhapa",Nepal,,,,,,,,,,,
