id,lat,lon,type,state,schools1km,hosp1km,pop1km
BKI-1,26.16293905,81.70095062,FCBK,Uttar Pradesh,0,0,1049
BKI-2,25.69399975,85.15795134,FCBK,Bihar,0,0,6333
BKI-3,25.83821213,85.46940126,FCBK,Bihar,0,0,4139
BKI-4,25.66645289,85.49087316,FCBK,Bihar,0,0,864
BKI-5,25.71334426,85.40889127,FCBK,Bihar,0,0,617
BKI-6,25.8768974,84.19772549,FCBK,Uttar Pradesh,0,0,2967
BKI-7,25.2025948,82.5931526,FCBK,Uttar Pradesh,0,0,3007
BKI-8,25.20130359,82.5908951,FCBK,Uttar Pradesh,0,0,3007
BKI-9,25.20562327,82.5911961,FCBK,Uttar Pradesh,0,0,1490
BKI-10,25.2489682,82.48943078,FCBK,Uttar Pradesh,0,0,14822
BKI-11,25.20692984,82.60506005,FCBK,Uttar Pradesh,0,0,3052
BKI-12,25.20481695,82.60804855,FCBK,Uttar Pradesh,0,0,2844
BKI-13,25.20485921,82.6048988,FCBK,Uttar Pradesh,0,0,822
BKI-14,25.4668613,82.47273275,FCBK,Uttar Pradesh,0,0,979
BKI-15,25.42062081,82.48354001,FCBK,Uttar Pradesh,0,0,1573
BKI-16,25.42059351,82.48352564,FCBK,Uttar Pradesh,0,0,1719
BKI-17,25.42110999,82.48606264,FCBK,Uttar Pradesh,0,0,6133
BKI-18,25.24394931,82.66429261,FCBK,Uttar Pradesh,0,0,4035
BKI-19,25.18127772,82.63183585,FCBK,Uttar Pradesh,0,1,4042
BKI-20,25.30074801,82.4972811,FCBK,Uttar Pradesh,0,0,995
BKI-21,25.47081026,82.47432701,FCBK,Uttar Pradesh,0,0,4244
BKI-22,25.52817838,82.74766384,FCBK,Uttar Pradesh,0,0,1078
BKI-23,25.25309976,82.60740063,FCBK,Uttar Pradesh,0,0,9229
BKI-24,25.24897783,82.48942844,FCBK,Uttar Pradesh,0,0,14822
BKI-25,25.2490565,82.48943645,FCBK,Uttar Pradesh,0,0,14822
BKI-26,25.37308072,82.71502867,FCBK,Uttar Pradesh,0,0,1220
BKI-27,25.56648442,86.22269476,FCBK,Bihar,0,0,772
BKI-28,25.84935636,81.61812585,FCBK,Uttar Pradesh,0,0,2691
BKI-29,25.88789225,81.77391544,FCBK,Uttar Pradesh,0,0,562
BKI-30,25.60840149,81.90532139,FCBK,Uttar Pradesh,0,0,6155
BKI-31,25.87760305,84.14886592,FCBK,Uttar Pradesh,0,0,2190
BKI-32,25.75031232,84.21689919,FCBK,Uttar Pradesh,0,0,37147
BKI-33,30.06151797,77.51102084,FCBK,Uttar Pradesh,0,0,3490
BKI-34,30.0859572,77.51800484,FCBK,Uttar Pradesh,0,0,1892
BKI-35,26.04077173,81.45919508,FCBK,Uttar Pradesh,0,0,2984
BKI-36,25.79860781,84.12819073,FCBK,Uttar Pradesh,0,0,11647
BKI-37,25.95172094,83.89382365,FCBK,Uttar Pradesh,0,0,3736
BKI-38,26.27765442,81.21600189,FCBK,Uttar Pradesh,0,0,2948
BKI-39,26.33119526,81.27154481,FCBK,Uttar Pradesh,0,0,1543
BKI-40,26.04218746,81.46839468,FCBK,Uttar Pradesh,0,0,3472
BKI-41,26.16315,81.38399855,FCBK,Uttar Pradesh,0,0,3754
BKI-42,26.22178505,81.1342448,FCBK,Uttar Pradesh,0,0,5426
BKI-43,26.20974948,81.36672476,FCBK,Uttar Pradesh,0,0,655
BKI-44,25.919126,84.09474363,FCBK,Uttar Pradesh,0,0,1911
BKI-45,25.84382221,83.88375183,FCBK,Uttar Pradesh,0,0,4448
BKI-46,25.84256386,83.88249408,FCBK,Uttar Pradesh,0,0,4448
BKI-47,25.76319293,83.83731601,FCBK,Uttar Pradesh,0,0,736
BKI-48,25.95649269,83.87899369,FCBK,Uttar Pradesh,0,0,4808
BKI-49,25.71182816,83.89274527,FCBK,Uttar Pradesh,0,0,9833
BKI-50,25.85120519,84.02042141,FCBK,Uttar Pradesh,0,0,6718
BKI-51,25.75708349,85.37569261,FCBK,Bihar,0,0,7155
BKI-52,25.75526171,85.37596136,FCBK,Bihar,0,0,7155
BKI-53,25.7513603,85.37450279,FCBK,Bihar,0,0,1920
BKI-54,25.75697383,85.37567654,FCBK,Bihar,0,0,7155
BKI-55,25.73557458,85.4076355,FCBK,Bihar,0,0,5870
BKI-56,25.6712003,85.29303076,FCBK,Bihar,0,0,19111
