id,lat,lon,type,state,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,Point_Count
BKI-1,26.16293905,81.70095062,FCBK,Uttar Pradesh,1000,0,0.05981597,0.000283583,0
BKI-2,25.69399975,85.15795134,FCBK,Bihar,1000,1,0.059690604,0.000282481,0
BKI-3,25.83821213,85.46940126,FCBK,Bihar,1000,2,0.059728811,0.000282817,0
BKI-4,25.66645289,85.49087316,FCBK,Bihar,1000,3,0.05968334,0.000282417,0
BKI-5,25.71334426,85.40889127,FCBK,Bihar,1000,4,0.059695711,0.000282526,0
BKI-6,25.8768974,84.19772549,FCBK,Uttar Pradesh,1000,5,0.059739113,0.000282908,0
BKI-7,25.2025948,82.5931526,FCBK,Uttar Pradesh,1000,6,0.059562687,0.000281356,0
BKI-8,25.20130359,82.5908951,FCBK,Uttar Pradesh,1000,7,0.059562356,0.000281353,0
BKI-9,25.20562327,82.5911961,FCBK,Uttar Pradesh,1000,8,0.059563465,0.000281363,0
BKI-10,25.2489682,82.48943078,FCBK,Uttar Pradesh,1000,9,0.059574609,0.000281461,0
BKI-11,25.20692984,82.60506005,FCBK,Uttar Pradesh,1000,10,0.059563801,0.000281366,0
BKI-12,25.20481695,82.60804855,FCBK,Uttar Pradesh,1000,11,0.059563258,0.000281361,0
BKI-13,25.20485921,82.6048988,FCBK,Uttar Pradesh,1000,12,0.059563269,0.000281361,0
BKI-14,25.4668613,82.47273275,FCBK,Uttar Pradesh,1000,13,0.059631042,0.000281957,0
BKI-15,25.42062081,82.48354001,FCBK,Uttar Pradesh,1000,14,0.059619009,0.000281851,0
BKI-16,25.42059351,82.48352564,FCBK,Uttar Pradesh,1000,15,0.059619002,0.000281851,0
BKI-17,25.42110999,82.48606264,FCBK,Uttar Pradesh,1000,16,0.059619137,0.000281853,0
BKI-18,25.24394931,82.66429261,FCBK,Uttar Pradesh,1000,17,0.059573318,0.000281449,0
BKI-19,25.18127772,82.63183585,FCBK,Uttar Pradesh,1000,18,0.059557218,0.000281308,1
BKI-20,25.30074801,82.4972811,FCBK,Uttar Pradesh,1000,19,0.059587958,0.000281578,0
BKI-21,25.47081026,82.47432701,FCBK,Uttar Pradesh,1000,20,0.059632072,0.000281966,0
BKI-22,25.52817838,82.74766384,FCBK,Uttar Pradesh,1000,21,0.059647047,0.000282098,0
BKI-23,25.25309976,82.60740063,FCBK,Uttar Pradesh,1000,22,0.059575673,0.00028147,0
BKI-24,25.24897783,82.48942844,FCBK,Uttar Pradesh,1000,23,0.059574612,0.000281461,0
BKI-25,25.2490565,82.48943645,FCBK,Uttar Pradesh,1000,24,0.059574632,0.000281461,0
BKI-26,25.37308072,82.71502867,FCBK,Uttar Pradesh,1000,25,0.05960667,0.000281743,0
BKI-27,25.56648442,86.22269476,FCBK,Bihar,1000,26,0.059657074,0.000282186,0
BKI-28,25.84935636,81.61812585,FCBK,Uttar Pradesh,1000,27,0.059731777,0.000282843,0
BKI-29,25.88789225,81.77391544,FCBK,Uttar Pradesh,1000,28,0.059742044,0.000282933,0
BKI-30,25.60840149,81.90532139,FCBK,Uttar Pradesh,1000,29,0.05966807,0.000282283,0
BKI-31,25.87760305,84.14886592,FCBK,Uttar Pradesh,1000,30,0.059739301,0.000282909,0
BKI-32,25.75031232,84.21689919,FCBK,Uttar Pradesh,1000,31,0.059705487,0.000282612,0
BKI-33,30.06151797,77.51102084,FCBK,Uttar Pradesh,1000,32,0.060991935,0.000293864,0
BKI-34,30.0859572,77.51800484,FCBK,Uttar Pradesh,1000,33,0.06100011,0.000293935,0
BKI-35,26.04077173,81.45919508,FCBK,Uttar Pradesh,1000,34,0.059782996,0.000283293,0
BKI-36,25.79860781,84.12819073,FCBK,Uttar Pradesh,1000,35,0.059718288,0.000282725,0
BKI-37,25.95172094,83.89382365,FCBK,Uttar Pradesh,1000,36,0.0597591,0.000283083,0
BKI-38,26.27765442,81.21600189,FCBK,Uttar Pradesh,1000,37,0.059847135,0.000283857,0
BKI-39,26.33119526,81.27154481,FCBK,Uttar Pradesh,1000,38,0.059861748,0.000283985,0
BKI-40,26.04218746,81.46839468,FCBK,Uttar Pradesh,1000,39,0.059783376,0.000283297,0
BKI-41,26.16315,81.38399855,FCBK,Uttar Pradesh,1000,40,0.059816027,0.000283584,0
BKI-42,26.22178505,81.1342448,FCBK,Uttar Pradesh,1000,41,0.059831932,0.000283723,0
BKI-43,26.20974948,81.36672476,FCBK,Uttar Pradesh,1000,42,0.059828663,0.000283695,0
BKI-44,25.919126,84.09474363,FCBK,Uttar Pradesh,1000,43,0.059750383,0.000283007,0
BKI-45,25.84382221,83.88375183,FCBK,Uttar Pradesh,1000,44,0.059730304,0.00028283,0
BKI-46,25.84256386,83.88249408,FCBK,Uttar Pradesh,1000,45,0.059729969,0.000282827,0
BKI-47,25.76319293,83.83731601,FCBK,Uttar Pradesh,1000,46,0.059708898,0.000282642,0
BKI-48,25.95649269,83.87899369,FCBK,Uttar Pradesh,1000,47,0.059760378,0.000283095,0
BKI-49,25.71182816,83.89274527,FCBK,Uttar Pradesh,1000,48,0.059695311,0.000282523,0
BKI-50,25.85120519,84.02042141,FCBK,Uttar Pradesh,1000,49,0.059732269,0.000282848,0
BKI-51,25.75708349,85.37569261,FCBK,Bihar,1000,50,0.05970728,0.000282628,0
BKI-52,25.75526171,85.37596136,FCBK,Bihar,1000,51,0.059706797,0.000282624,0
BKI-53,25.7513603,85.37450279,FCBK,Bihar,1000,52,0.059705764,0.000282615,0
BKI-54,25.75697383,85.37567654,FCBK,Bihar,1000,53,0.059707251,0.000282628,0
BKI-55,25.73557458,85.4076355,FCBK,Bihar,1000,54,0.059701587,0.000282578,0
BKI-56,25.6712003,85.29303076,FCBK,Bihar,1000,55,0.059684591,0.000282428,0
BKI-57,25.67643257,85.2907832,FCBK,Bihar,1000,56,0.05968597,0.00028244,0
BKI-58,25.68524537,85.27346206,FCBK,Bihar,1000,57,0.059688294,0.000282461,0
BKI-59,25.68686995,85.27283856,FCBK,Bihar,1000,58,0.059688723,0.000282465,0
BKI-60,28.78917361,76.42623173,FCBK,Haryana,1000,59,0.060580694,0.000290279,0
BKI-61,28.82042364,76.28019448,FCBK,Haryana,1000,60,0.060590463,0.000290365,0
BKI-62,28.80345614,76.28457084,FCBK,Haryana,1000,61,0.060585157,0.000290318,0
BKI-63,25.88811813,84.06325841,FCBK,Uttar Pradesh,1000,62,0.059742105,0.000282934,0
BKI-64,29.00368734,76.46524762,FCBK,Haryana,1000,63,0.060648084,0.000290868,0
BKI-65,28.81581477,76.29046765,FCBK,Haryana,1000,64,0.060589021,0.000290352,0
BKI-66,28.83957093,76.50035288,FCBK,Haryana,1000,65,0.060596457,0.000290417,0
BKI-67,29.55042679,74.25040395,FCBK,Rajasthan,1000,66,0.06082338,0.000292396,0
BKI-68,29.54943608,74.25325808,FCBK,Rajasthan,1000,67,0.060823058,0.000292393,0
BKI-69,29.54909802,74.2517692,FCBK,Rajasthan,1000,68,0.060822948,0.000292392,0
BKI-70,29.55003238,74.25187133,FCBK,Rajasthan,1000,69,0.060823252,0.000292395,0
BKI-71,29.54428932,74.2518915,FCBK,Rajasthan,1000,70,0.060821384,0.000292379,0
BKI-72,29.54426114,74.25069825,FCBK,Rajasthan,1000,71,0.060821375,0.000292378,0
BKI-73,29.46087622,74.12380582,FCBK,Rajasthan,1000,72,0.060794317,0.000292143,0
BKI-74,29.4615993,74.1223062,FCBK,Rajasthan,1000,73,0.060794551,0.000292145,0
BKI-75,29.55592908,74.278112,FCBK,Rajasthan,1000,74,0.060825171,0.000292412,0
BKI-76,29.55596664,74.27654788,FCBK,Rajasthan,1000,75,0.060825183,0.000292412,0
BKI-77,29.55686344,74.2768005,FCBK,Rajasthan,1000,76,0.060825475,0.000292414,0
BKI-78,29.5546989,74.27745088,FCBK,Rajasthan,1000,77,0.060824771,0.000292408,0
BKI-79,29.55476933,74.279101,FCBK,Rajasthan,1000,78,0.060824794,0.000292408,0
BKI-80,29.55405095,74.27836463,FCBK,Rajasthan,1000,79,0.06082456,0.000292406,0
BKI-81,29.55737368,74.26001682,FCBK,Rajasthan,1000,80,0.060825641,0.000292416,0
BKI-82,29.55634071,74.25686707,FCBK,Rajasthan,1000,81,0.060825305,0.000292413,0
BKI-83,29.55529836,74.25738307,FCBK,Rajasthan,1000,82,0.060824966,0.00029241,0
BKI-84,29.55456119,74.25919982,FCBK,Rajasthan,1000,83,0.060824726,0.000292408,0
BKI-85,29.55458162,74.25921199,FCBK,Rajasthan,1000,84,0.060824733,0.000292408,0
BKI-86,29.5553094,74.25738449,FCBK,Rajasthan,1000,85,0.060824969,0.00029241,0
BKI-87,29.55633298,74.25654599,FCBK,Rajasthan,1000,86,0.060825302,0.000292413,0
BKI-88,29.55739881,74.25971724,FCBK,Rajasthan,1000,87,0.060825649,0.000292416,0
BKI-89,29.55099951,74.27483971,FCBK,Rajasthan,1000,88,0.060823567,0.000292398,0
BKI-90,29.4726761,74.11023792,FCBK,Rajasthan,1000,89,0.060798139,0.000292176,0
BKI-91,29.53773005,74.27453014,FCBK,Rajasthan,1000,90,0.060819251,0.00029236,0
BKI-92,29.38355673,74.29363483,FCBK,Rajasthan,1000,91,0.060769334,0.000291925,0
BKI-93,29.53831577,74.1841458,FCBK,Rajasthan,1000,92,0.060819442,0.000292362,0
BKI-94,29.53873365,74.18549493,FCBK,Rajasthan,1000,93,0.060819578,0.000292363,0
BKI-95,29.54069629,74.18402218,FCBK,Rajasthan,1000,94,0.060820216,0.000292368,0
BKI-96,29.5186728,74.13750445,FCBK,Rajasthan,1000,95,0.060813059,0.000292306,0
BKI-97,29.46980213,74.11698612,FCBK,Rajasthan,1000,96,0.060797208,0.000292168,0
BKI-98,29.47097127,74.115852,FCBK,Rajasthan,1000,97,0.060797587,0.000292171,0
BKI-99,28.86146343,76.39170965,FCBK,Haryana,1000,98,0.060603317,0.000290477,0
BKI-100,29.46204126,74.05523505,FCBK,Rajasthan,1000,99,0.060794694,0.000292146,0
BKI-101,29.46610996,74.12189656,FCBK,Rajasthan,1000,100,0.060796012,0.000292157,0
BKI-102,29.43175209,74.17214087,FCBK,Rajasthan,1000,101,0.060784895,0.000292061,0
BKI-103,29.46065433,74.00515495,FCBK,Rajasthan,1000,102,0.060794245,0.000292142,0
BKI-104,29.45940537,74.00373595,FCBK,Rajasthan,1000,103,0.06079384,0.000292139,0
BKI-105,29.55596224,74.26780174,FCBK,Rajasthan,1000,104,0.060825182,0.000292412,0
BKI-106,29.55375545,74.26905949,FCBK,Rajasthan,1000,105,0.060824464,0.000292405,0
BKI-107,29.55617353,74.26986574,FCBK,Rajasthan,1000,106,0.060825251,0.000292412,0
BKI-108,29.54062899,74.25598776,FCBK,Rajasthan,1000,107,0.060820194,0.000292368,0
BKI-109,29.52870869,74.0906873,FCBK,Rajasthan,1000,108,0.060816319,0.000292334,0
BKI-110,29.46851392,73.98353414,FCBK,Rajasthan,1000,109,0.06079679,0.000292164,0
BKI-111,29.47966227,74.10274034,FCBK,Rajasthan,1000,110,0.060800402,0.000292196,0
BKI-112,29.47795787,74.10297147,FCBK,Rajasthan,1000,111,0.06079985,0.000292191,0
BKI-113,29.4771268,74.10295534,FCBK,Rajasthan,1000,112,0.060799581,0.000292189,0
BKI-114,29.47718784,74.10417547,FCBK,Rajasthan,1000,113,0.0607996,0.000292189,0
BKI-115,25.84238186,84.05769926,FCBK,Uttar Pradesh,1000,114,0.059729921,0.000282827,0
BKI-116,29.55042321,74.28334053,FCBK,Rajasthan,1000,115,0.060823379,0.000292396,0
BKI-117,29.55515608,74.28324916,FCBK,Rajasthan,1000,116,0.060824919,0.000292409,0
BKI-118,29.55477576,74.27911578,FCBK,Rajasthan,1000,117,0.060824796,0.000292408,0
BKI-119,29.55471003,74.27754628,FCBK,Rajasthan,1000,118,0.060824774,0.000292408,0
BKI-120,29.55277086,74.28049178,FCBK,Rajasthan,1000,119,0.060824143,0.000292403,0
BKI-121,29.55405269,74.27836328,FCBK,Rajasthan,1000,120,0.06082456,0.000292406,0
BKI-122,29.46393628,74.03645365,FCBK,Rajasthan,1000,121,0.060795308,0.000292151,0
BKI-123,29.47795878,74.10296009,FCBK,Rajasthan,1000,122,0.06079985,0.000292191,0
BKI-124,29.47966787,74.10275047,FCBK,Rajasthan,1000,123,0.060800404,0.000292196,0
BKI-125,29.47711362,74.10296009,FCBK,Rajasthan,1000,124,0.060799577,0.000292189,0
BKI-126,29.47718874,74.10419097,FCBK,Rajasthan,1000,125,0.060799601,0.000292189,0
BKI-127,29.55875208,74.2508831,FCBK,Rajasthan,1000,126,0.06082609,0.00029242,0
BKI-128,29.44835265,74.14162589,FCBK,Rajasthan,1000,127,0.060790264,0.000292107,0
BKI-129,29.44575145,74.14260952,FCBK,Rajasthan,1000,128,0.060789422,0.0002921,0
BKI-130,29.44696754,74.14180864,FCBK,Rajasthan,1000,129,0.060789815,0.000292103,0
BKI-131,29.4196792,73.99159567,FCBK,Rajasthan,1000,130,0.060780993,0.000292027,0
BKI-132,29.41899368,73.99107429,FCBK,Rajasthan,1000,131,0.060780772,0.000292025,0
BKI-133,29.53775074,74.27452421,FCBK,Rajasthan,1000,132,0.060819258,0.00029236,0
BKI-134,29.53877364,74.18550084,FCBK,Rajasthan,1000,133,0.060819591,0.000292363,0
BKI-135,29.53832759,74.18413559,FCBK,Rajasthan,1000,134,0.060819446,0.000292362,0
BKI-136,29.54071281,74.18405497,FCBK,Rajasthan,1000,135,0.060820221,0.000292368,0
BKI-137,29.53876648,74.18548841,FCBK,Rajasthan,1000,136,0.060819588,0.000292363,0
BKI-138,29.53830164,74.18412316,FCBK,Rajasthan,1000,137,0.060819437,0.000292362,0
BKI-139,29.54070564,74.18401028,FCBK,Rajasthan,1000,138,0.060820219,0.000292368,0
BKI-140,29.44835856,74.14159407,FCBK,Rajasthan,1000,139,0.060790265,0.000292107,0
BKI-141,29.44575266,74.14260995,FCBK,Rajasthan,1000,140,0.060789422,0.0002921,0
BKI-142,29.44696405,74.1418252,FCBK,Rajasthan,1000,141,0.060789814,0.000292103,0
BKI-143,29.38355801,74.29363713,FCBK,Rajasthan,1000,142,0.060769335,0.000291925,0
BKI-144,29.38319178,74.29238476,FCBK,Rajasthan,1000,143,0.060769217,0.000291924,0
BKI-145,29.55470047,74.27745124,FCBK,Rajasthan,1000,144,0.060824771,0.000292408,0
BKI-146,29.55589778,74.27810699,FCBK,Rajasthan,1000,145,0.060825161,0.000292411,0
BKI-147,29.55593064,74.27655899,FCBK,Rajasthan,1000,146,0.060825171,0.000292412,0
BKI-148,29.55685092,74.27682774,FCBK,Rajasthan,1000,147,0.060825471,0.000292414,0
BKI-149,29.55474742,74.27910137,FCBK,Rajasthan,1000,148,0.060824786,0.000292408,0
BKI-150,29.45972648,74.11632378,FCBK,Rajasthan,1000,149,0.060793945,0.000292139,0
BKI-151,29.46203188,74.11331378,FCBK,Rajasthan,1000,150,0.060794691,0.000292146,0
BKI-152,29.46319091,74.1193504,FCBK,Rajasthan,1000,151,0.060795066,0.000292149,0
BKI-153,29.46158511,74.12230665,FCBK,Rajasthan,1000,152,0.060794547,0.000292145,0
BKI-154,29.55532287,74.25737905,FCBK,Rajasthan,1000,153,0.060824974,0.00029241,0
BKI-155,29.55216293,74.26132968,FCBK,Rajasthan,1000,154,0.060823945,0.000292401,0
BKI-156,29.55733716,74.25999668,FCBK,Rajasthan,1000,155,0.060825629,0.000292416,0
BKI-157,29.55633706,74.2565298,FCBK,Rajasthan,1000,156,0.060825303,0.000292413,0
BKI-158,29.55458101,74.25919043,FCBK,Rajasthan,1000,157,0.060824732,0.000292408,0
BKI-159,29.54237907,74.19736708,FCBK,Rajasthan,1000,158,0.060820763,0.000292373,0
BKI-160,29.54032252,74.19668983,FCBK,Rajasthan,1000,159,0.060820094,0.000292367,0
BKI-161,29.54157617,74.19911933,FCBK,Rajasthan,1000,160,0.060820502,0.000292371,0
BKI-162,29.55738513,74.26002067,FCBK,Rajasthan,1000,161,0.060825645,0.000292416,0
BKI-163,29.55455855,74.25918755,FCBK,Rajasthan,1000,162,0.060824725,0.000292408,0
BKI-164,29.55530511,74.25737617,FCBK,Rajasthan,1000,163,0.060824968,0.00029241,0
BKI-165,29.55633338,74.25655917,FCBK,Rajasthan,1000,164,0.060825302,0.000292413,0
BKI-166,29.45940277,74.00373998,FCBK,Rajasthan,1000,165,0.06079384,0.000292139,0
BKI-167,29.45964223,74.00768523,FCBK,Rajasthan,1000,166,0.060793918,0.000292139,0
BKI-168,29.46062824,74.0051321,FCBK,Rajasthan,1000,167,0.060794237,0.000292142,0
BKI-169,29.34250201,74.22999382,FCBK,Rajasthan,1000,168,0.060756111,0.00029181,0
BKI-170,29.49126912,74.19758562,FCBK,Rajasthan,1000,169,0.060804165,0.000292228,0
BKI-171,29.54429032,74.25189325,FCBK,Rajasthan,1000,170,0.060821385,0.000292379,0
BKI-172,29.54425276,74.25071075,FCBK,Rajasthan,1000,171,0.060821372,0.000292378,0
BKI-173,29.55687178,74.27681855,FCBK,Rajasthan,1000,172,0.060825478,0.000292414,0
