city,state,country,sub_region,latitude,longitude,status,plant_type,capacity
Narayanganj District,Dhaka Division,Bangladesh,Southern Asia,23.71286,90.51543,Operating,Grinding,0
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.611005,90.613007,Operating,Grinding,0
Mongla,Khulna Division,Bangladesh,Southern Asia,22.504972,89.589503,Operating,Grinding,0
Khulna,Khulna Division,Bangladesh,Southern Asia,22.784672,89.581336,Operating,Grinding,0
Mongla,Khulna Division,Bangladesh,Southern Asia,22.515404,89.587142,Operating,Grinding,0
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.576689,90.508382,Operating,Grinding,0
Mongla,Khulna Division,Bangladesh,Southern Asia,22.517834,89.585596,Operating,Grinding,0
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.568501,90.520327,Operating,Grinding,0
Mongla,Khulna Division,Bangladesh,Southern Asia,22.503884,89.590302,Operating,Grinding,0
Mongla,Khulna Division,Bangladesh,Southern Asia,22.51778,89.585416,Operating,Grinding,0
Barisal,Barisal Division,Bangladesh,Southern Asia,22.652466,90.345293,Operating,Grinding,0
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.568618,90.524404,Operating,Grinding,1.86
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.571925,90.521455,Operating,Grinding,0
Munshiganj District,Dhaka Division,Bangladesh,Southern Asia,23.578555,90.513202,Operating,Grinding,2.4
Gazaria,Dhaka Division,Bangladesh,Southern Asia,23.602161,90.624685,Operating,Grinding,0
Narayanganj District,Dhaka Division,Bangladesh,Southern Asia,23.609232,90.61001,Operating,Grinding,0
Sirajganj District,Rajshahi Division,Bangladesh,Southern Asia,24.127959,89.586911,Operating,Grinding,0
Sirajganj District,Rajshahi Division,Bangladesh,Southern Asia,24.290893,89.566546,Operating,Grinding,0
Raebareli,Uttar Pradesh,India,Southern Asia,26.253459,81.250948,Operating,Grinding,1.3
Durgapur,West Bengal,India,Southern Asia,23.562013,87.23354,Operating,Grinding,2.3
Khairhani,Uttar Pradesh,India,Southern Asia,26.404843,81.130322,Operating,Grinding,2
Asaida Pur,Uttar Pradesh,India,Southern Asia,26.190592,81.706283,Operating,Grinding,0
Bathinda,Punjab,India,Southern Asia,30.233638,74.912213,Operating,Grinding,0
Gautam Buddh Nagar,Uttar Pradesh,India,Southern Asia,28.570512,77.546556,Operating,Grinding,0
Howrah,West Bengal,India,Southern Asia,22.569254,88.194228,Operating,Grinding,0
Lakesri,Uttarakhand,India,Southern Asia,29.967487,77.769868,Operating,Grinding,0
Farakka,West Bengal,India,Southern Asia,24.775292,87.88645,Operating,Grinding,0
Dhalo,West Bengal,India,Southern Asia,24.388462,88.083237,Operating,Grinding,2
Kota Chandipur,West Bengal,India,Southern Asia,23.439328,87.51119,Operating,Grinding,2.5
Nandanpur,West Bengal,India,Southern Asia,23.461907,87.120726,Operating,Grinding,0
Lebura,Bihar,India,Southern Asia,24.670568,83.9891,Operating,Integrated,0
Bhiwani,Haryana,India,Southern Asia,28.455175,76.273575,Operating,Grinding,0
Kulharia,Bihar,India,Southern Asia,25.223534,83.461625,Operating,Grinding,0.8
Rana,West Bengal,India,Southern Asia,22.528774,87.313274,Operating,Grinding,0
Kolaghat,West Bengal,India,Southern Asia,22.423362,87.862852,Operating,Grinding,1.95
Mohanbari,Haryana,India,Southern Asia,28.490245,76.386299,Operating,Grinding,0
Raipur,Uttarakhand,India,Southern Asia,29.758381,78.062049,Operating,Grinding,0
Jhajjar,Haryana,India,Southern Asia,28.495111,76.358152,Operating,Grinding,0
Dhobaul,Bihar,India,Southern Asia,24.774342,84.354352,Operating,Grinding,0
Rajarampur,Uttar Pradesh,India,Southern Asia,28.480534,77.658796,Operating,Grinding,0
Khukhrana,Haryana,India,Southern Asia,29.396089,76.889313,Operating,Grinding,0
Jamdedya,West Bengal,India,Southern Asia,22.576171,87.309609,Operating,Integrated,2.4
Udaipur Udasar,Rajasthan,India,Southern Asia,29.156732,73.865416,Operating,Grinding,0
Dalla,Uttar Pradesh,India,Southern Asia,24.449401,83.039567,Operating,Integrated,2.36
Ambedkar Nagar,Uttar Pradesh,India,Southern Asia,26.576623,82.584652,Operating,Grinding,0
