plant_name,country,cap_all,total_cap,sts_all,units,status,prod_kw,nox_ef,nox_tn_y,so2_ef,so2_tn_y,p10_ef,p10_tn_y,pm25_ef,p25_tn_y,lat,lon
Barapukuria power station,Bangladesh,"125, 125, 275",525,"operating, operating, operating",3,operating,4599000000,4.3,19775.7,7.2,33112.8,0.37,1701.63,0.19,873.81,25.5537569,88.9486312
Patuakhali power station (RPCL/NORINCO),Bangladesh,"660, 660",1320,"construction, construction",2,construction,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,22.025149,90.312349
Payra power station (BCPCL),Bangladesh,"660, 660, 660, 660",2640,"operating, operating, construction, construction",4,operating,23126400000,4.3,99443.52,7.2,166510.08,0.37,8556.768,0.19,4394.016,22.001974,90.30821
Rampal power station,Bangladesh,"660, 660",1320,"operating, construction",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,22.5924582,89.556427
Adani Godda power station,India,"800, 800",1600,"operating, operating",2,operating,14016000000,4.3,60268.8,7.2,100915.2,0.37,5185.92,0.19,2663.04,24.81411,87.13547
Angul Smelter power station (Meja Urja Nigam Pvt Ltd),India,800,800,pre-permit,1,pre-permit,7008000000,4.3,30134.4,7.2,50457.6,0.37,2592.96,0.19,1331.52,25.14587,81.9401
Angul Smelter power station (Mirzapur Thermal Energy (UP) Pvt Ltd),India,800,800,pre-permit,1,pre-permit,7008000000,4.3,30134.4,7.2,50457.6,0.37,2592.96,0.19,1331.52,25.13658,82.5622
Anpara power station,India,"210, 210, 210, 500, 500",1630,"operating, operating, operating, operating, operating",5,operating,14278800000,4.3,61398.84,7.2,102807.36,0.37,5283.156,0.19,2712.972,24.20204,82.78913
Anpara-C power station,India,"600, 600",1200,"operating, operating",2,operating,10512000000,4.3,45201.6,7.2,75686.4,0.37,3889.44,0.19,1997.28,24.20379,82.79733
Anpara-D power station,India,"500, 500",1000,"operating, operating",2,operating,8760000000,4.3,37668,7.2,63072,0.37,3241.2,0.19,1664.4,24.19626,82.80634
Anpara-E power station,India,"660, 660",1320,"permitted, permitted",2,permitted,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,26.19278,79.94028
Asansol Crescent power station,India,40,40,operating,1,operating,350400000,4.3,1506.72,7.2,2522.88,0.37,129.648,0.19,66.576,23.65,88.13
Badarpur Thermal Power Station Stage I,India,"95, 95, 95",285,"operating, operating, operating",3,operating,2496600000,4.3,10735.38,7.2,17975.52,0.37,923.742,0.19,474.354,22.9957456,88.4038154
Badarpur Thermal Power Station Stage II,India,"210, 210",420,"operating, operating",2,operating,3679200000,4.3,15820.56,7.2,26490.24,0.37,1361.304,0.19,699.048,24.714,86.9583
Bakreswar Thermal Power Station Phase I,India,"210, 210, 210",630,"operating, operating, operating",3,operating,5518800000,4.3,23730.84,7.2,39735.36,0.37,2041.956,0.19,1048.572,25.3913756,86.0234883
Bakreswar Thermal Power Station Phase II,India,"210, 210",420,"operating, operating",2,operating,3679200000,4.3,15820.56,7.2,26490.24,0.37,1361.304,0.19,699.048,23.83669982,87.4672678
Bandel Thermal Power Station,India,"60, 210, 60, 60, 60",450,"operating, operating, operating, operating, operating",5,operating,3942000000,4.3,16950.6,7.2,28382.4,0.37,1458.54,0.19,748.98,22.99575,88.40382
Banka Thermal Power Plant,India,"660, 660, 660, 660",2640,"construction, construction, permitted, permitted",4,construction,23126400000,4.3,99443.52,7.2,166510.08,0.37,8556.768,0.19,4394.016,28.55,80.1
Bara Thermal Power Project,India,"660, 660, 660",1980,"operating, operating, operating",3,operating,17344800000,4.3,74582.64,7.2,124882.56,0.37,6417.576,0.19,3295.512,25.19635,81.65853
Barauni power station,India,"250, 250, 110, 110",720,"operating, operating, operating, operating",4,operating,6307200000,4.3,27120.96,7.2,45411.84,0.37,2333.664,0.19,1198.368,25.39138,86.02349
Barh I power station,India,"660, 660, 660",1980,"operating, construction, construction",3,operating,17344800000,4.3,74582.64,7.2,124882.56,0.37,6417.576,0.19,3295.512,25.4693,85.74516
Barh II power station,India,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,25.4865,85.74516
Barkhera IPP power station,India,"45, 45",90,"operating, operating",2,operating,788400000,4.3,3390.12,7.2,5676.48,0.37,291.708,0.19,149.796,28.55,80.1
Bilhaur Super Thermal Power Plant,India,"660, 660",1320,"pre-permit, pre-permit",2,pre-permit,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,26.76339,80.05806
Budge Budge Generating Station,India,"250, 250, 250",750,"operating, operating, operating",3,operating,6570000000,4.3,28251,7.2,47304,0.37,2430.9,0.19,1248.3,22.47034,88.13995
Chandrapur Thermal Power Station (Bihar State Power Holding Co Ltd),India,250,250,operating,1,operating,2190000000,4.3,9417,7.2,15768,0.37,810.3,0.19,416.1,25.39138,86.02349
Buxar Thermal Power Station,India,"660, 660",1320,"construction, construction",2,construction,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,25.46235,83.88257
Chunar Cement power station,India,38,38,operating,1,operating,332880000,4.3,1431.384,7.2,2396.736,0.37,123.1656,0.19,63.2472,25.09089,82.89734
Churk captive power station,India,"60, 60, 60, 60",240,"operating, operating, operating, operating",4,operating,2102400000,4.3,9040.32,7.2,15137.28,0.37,777.888,0.19,399.456,24.6391,83.10109
Deenbandhu Chhotu Ram Thermal Power Plant,India,"300, 300",600,"operating, operating",2,operating,5256000000,4.3,22600.8,7.2,37843.2,0.37,1944.72,0.19,998.64,30.10541,77.32697
Durgapur Projects Limited power station,India,"300, 250",550,"operating, operating",2,operating,4818000000,4.3,20717.4,7.2,34689.6,0.37,1782.66,0.19,915.42,23.52115,87.30231
Durgapur SAIL power station,India,"60, 60",120,"operating, operating",2,operating,1051200000,4.3,4520.16,7.2,7568.64,0.37,388.944,0.19,199.728,23.55181,87.24848
Durgapur Steel City Andal power station,India,"500, 500",1000,"operating, operating",2,operating,8760000000,4.3,37668,7.2,63072,0.37,3241.2,0.19,1664.4,23.58,87.2043
