id,name,lat,lon,type, fuel,region,country,status,capacity_power,prod_kw,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr
CB-1,Barapukuria power station,25.5537569,88.9486312,coal plant,coal,Dinajpur,Bangladesh,"operating, operating, operating","125, 125, 275",4599000000,0.00037,1701.63,0.00019,873.81,0.0072,33112.8,0.0043,19775.7
CB-2,Patuakhali power station (RPCL/NORINCO),22.025149,90.312349,coal plant,coal,Patuakhali,Bangladesh,"construction, construction","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CB-3,Payra power station (BCPCL),21.9997781,90.30558568,coal plant,coal,Patuakhali,Bangladesh,"operating, operating, construction, construction","660, 660, 660, 660",23126400000,0.00037,8556.768,0.00019,4394.016,0.0072,166510.08,0.0043,99443.52
CB-4,Rampal power station,22.5924582,89.556427,coal plant,coal,Khulna,Bangladesh,"operating, construction","660, 660",11563200000,0.00037,4278.384,0.00019,2197.008,0.0072,83255.04,0.0043,49721.76
CI-1,Adani Godda power station,24.81411,87.13547,coal plant,coal,Jharkhand,India,"operating, operating","800, 800",14016000000,0.00037,5185.92,0.00019,2663.04,0.0072,100915.2,0.0043,60268.8
CI-2,Angul Smelter power station (Meja Urja Nigam Pvt Ltd),25.14587,81.9401,captive power plant,coal,Uttar Pradesh,India,pre-permit,800,7008000000,0.00037,2592.96,0.00019,1331.52,0.0072,50457.6,0.0043,30134.4
CI-3,Angul Smelter power station (Mirzapur Thermal Energy (UP) Pvt Ltd),25.13658,82.5622,captive power plant,coal,Uttar Pradesh,India,pre-permit,800,7008000000,0.00037,2592.96,0.00019,1331.52,0.0072,50457.6,0.0043,30134.4
CI-4,Anpara power station,24.20204,82.78913,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating","210, 210, 210, 500, 500",14278800000,0.00037,5283.156,0.00019,2712.972,0.0072,102807.36,0.0043,61398.84
CI-5,Anpara-C power station,24.20379,82.79733,coal plant,coal,Uttar Pradesh,India,"operating, operating","600, 600",10512000000,0.00037,3889.44,0.00019,1997.28,0.0072,75686.4,0.0043,45201.6
CI-6,Anpara-D power station,24.19626,82.80634,coal plant,coal,Uttar Pradesh,India,"operating, operating","500, 500",8760000000,0.00037,3241.2,0.00019,1664.4,0.0072,63072,0.0043,37668
