id,name,lat,lon,type,fuel,state,country,status,capacity,unit,gross_energy(GJ),net_energy(GJ),emfpm10(g_GJ),pm10(t_day),pm10(t_yr),emfpm25(g_GJ),pm25(t_day),pm25(t_yr),emfso2(g_GJ),so2(t_day),so2(t_yr),emfnox(g_GJ),nox(t_day),nox(t_yr)
FOB-1,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,Furnace Oil,furnace oil,,Bangladesh,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOI-1,IOCL Panipat Refinery,29.47308,76.87831,Furnace Oil,furnace oil,,India,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOI-2,Guru Gobind Singh Refinery,29.923863,74.953334,Furnace Oil,furnace oil,,India,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOI-3,IOCL Mathura Refinery,27.37846,77.68662,Furnace Oil,furnace oil,,India,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOI-4,IOCL Barauni Refinery,25.42778,86.06001,Furnace Oil,furnace oil,,India,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOI-5,IOCL Haldia Refinery,22.04581,88.10433,Furnace Oil,furnace oil,,India,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOP-1,PARCO Mid Country (Kot Addu) Refinery,30.16778,70.932136,Furnace Oil,furnace oil,,Pakistan,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOP-2,Attock Refinery,33.55357,73.072974,Furnace Oil,furnace oil,,Pakistan,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOP-3,National Refinery NRL Refinery,24.846041,67.124187,Furnace Oil,furnace oil,,Pakistan,operating,0,,0,0,25.2,0,0,19.3,0,0,495,0,0,142,0,0
FOP-4,Kohinoor Energy,31.2632,74.1874818,Furnace Oil,furnace oil,,Pakistan,operating,1244,MW,107481.6,307090.2857,25.2,7.7386752,2824.616448,19.3,5.926842514,2163.297518,495,152.0096914,55483.53737,142,43.60682057,15916.48951
FOP-5,Rousch Power Limited,30.569074,72.143899,Furnace Oil,gas,,Pakistan,operating,450,MW,38880,111085.7143,3.2,0.355474286,129.7481143,3.2,0.355474286,129.7481143,0.253,0.028104686,10.25821029,76,8.442514286,3081.517714
FOP-6,Saba Power Plant,31.733074,73.8735099,Furnace Oil,furnace oil,,Pakistan,operating,134,MW,11577.6,33078.85714,25.2,0.8335872,304.259328,19.3,0.638421943,233.0240091,495,16.37403429,5976.522514,142,4.697197714,1714.477166
FOP-7,Atlas Power Plant,31.678385,74.0850865,Furnace Oil,furnace oil,,Pakistan,operating,225,MW,19440,55542.85714,25.2,1.39968,510.8832,19.3,1.071977143,391.2716571,495,27.49371429,10035.20571,142,7.887085714,2878.786286
FOP-8,SAIF POWER PLANT,30.69621,73.2605951,Furnace Oil,gas,,Pakistan,operating,225,MW,19440,55542.85714,3.2,0.177737143,64.87405714,3.2,0.177737143,64.87405714,0.253,0.014052343,5.129105143,76,4.221257143,1540.758857
FOP-9,Orient Power Station,31.18786,73.8900523,Furnace Oil,gas,,Pakistan,operating,225,MW,19440,55542.85714,3.2,0.177737143,64.87405714,3.2,0.177737143,64.87405714,0.253,0.014052343,5.129105143,76,4.221257143,1540.758857
FOP-10,Nishat Power Limited,31.122248,73.9053941,Furnace Oil,furnace oil,,Pakistan,operating,195,MW,16848,48137.14286,25.2,1.213056,442.76544,19.3,0.929046857,339.1021029,495,23.82788571,8697.178286,142,6.835474286,2494.948114
FOP-11,Nishat Chunian Power,31.123387,73.9053045,Furnace Oil,furnace oil,,Pakistan,operating,195,MW,16848,48137.14286,25.2,1.213056,442.76544,19.3,0.929046857,339.1021029,495,23.82788571,8697.178286,142,6.835474286,2494.948114
FOP-12,Sapphire Power Plant,31.760858,74.0333998,Furnace Oil,gas,,Pakistan,operating,225,MW,19440,55542.85714,3.2,0.177737143,64.87405714,3.2,0.177737143,64.87405714,0.253,0.014052343,5.129105143,76,4.221257143,1540.758857
FOP-13,Halmore Power Station,31.633141,73.8703108,Furnace Oil,gas,,Pakistan,operating,225,MW,19440,55542.85714,3.2,0.177737143,64.87405714,3.2,0.177737143,64.87405714,0.253,0.014052343,5.129105143,76,4.221257143,1540.758857
