id,name,lat,lon,type,fuel,state,country,status,capacity,emfpm10,pm10,emfpm25,pm25,emfso2,so2,emfnox,nox
OGB-1,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,oil-and-gas-refining,,,Bangladesh,operating,0.651162791,,,,,,,,
OGI-1,IOCL Panipat Refinery,29.47308,76.87831,oil-and-gas-refining,,,India,operating,1.109,,,,,,,,
OGI-2,Guru Gobind Singh Refinery,29.923863,74.953334,oil-and-gas-refining,,,India,operating,0.816,,,,,,,,
OGI-3,IOCL Mathura Refinery,27.37846,77.68662,oil-and-gas-refining,,,India,operating,0.895376644,,,,,,,,
OGI-4,IOCL Barauni Refinery,25.42778,86.06001,oil-and-gas-refining,,,India,operating,0.957442557,,,,,,,,
OGI-5,IOCL Haldia Refinery,22.04581,88.10433,oil-and-gas-refining,,,India,operating,1.007333994,,,,,,,,
OGP-1,PARCO Mid Country (Kot Addu) Refinery,30.16778,70.932136,oil-and-gas-refining,,,Pakistan,operating,0.66066838,,,,,,,,
OGP-2,Attock Refinery,33.55357,73.072974,oil-and-gas-refining,,,Pakistan,operating,0.510948905,,,,,,,,
OGP-3,National Refinery NRL Refinery,24.846041,67.124187,oil-and-gas-refining,,,Pakistan,operating,0.583941606,,,,,,,,
OGP-4,Kohinoor Energy,31.2632,74.1874818,,furnace oil,,Pakistan,operating,1244MW,,,,,,,,
OGP-7,Rousch Power Limited,30.569074,72.143899,,gas,,Pakistan,operating, 450 MW,,,,,,,,
OGP-8,Saba Power Plant,31.733074,73.8735099,,furnace oil,,Pakistan,operating, 134 MW,,,,,,,,
OGP-9,Atlas Power Plant,31.678385,74.0850865,,furnace oil,,Pakistan,operating, 225 MW,,,,,,,,
OGP-10,SAIF POWER PLANT,30.69621,73.2605951,,gas,,Pakistan,operating, 225 MW,,,,,,,,
OGP-11,Orient Power Station,31.18786,73.8900523,,gas,,Pakistan,operating, 225 MW,,,,,,,,
OGP-12,Nishat Power Limited,31.122248,73.9053941,,furnace oil,,Pakistan,operating, 195 MW,,,,,,,,
OGP-13,Nishat Chunian Power,31.123387,73.9053045,,furnace oil,,Pakistan,operating, 195 MW,,,,,,,,
OGP-14,Sapphire Power Plant,31.760858,74.0333998,,gas,,Pakistan,operating, 225 MW,,,,,,,,
OGP-15,Halmore Power Station,31.633141,73.8703108,,gas,,Pakistan,operating, 225 MW,,,,,,,,
OGP-16,Hubco Narowal Energy,32.059082,74.7812748,,furnace oil,,Pakistan,operating, 214 MW,,,,,,,,
OGP-17,Liberty Power Tech,31.699592,73.210921,,furnace oil,,Pakistan,operating, 200 MW,,,,,,,,
OGP-19,Reshma Power,31.246171,74.1778492,,furnace oil,,Pakistan,operating, 96 MW,,,,,,,,
OGP-20,Gulf Powergen,32.062449,74.2388696,,furnace oil,,Pakistan,operating, 85 MW,,,,,,,,
OGP-21,QATPL,31.605907,73.9058873,,RLNG,,Pakistan,operating, 1180 MW,,,,,,,,
OGP-22,Balloki Power Plant,31.03867,73.924773,,RLNG,,Pakistan,operating, 1223 MW,,,,,,,,
OGP-23,Haveli Bahadur Shah Power Plant,31.126387,72.1913301,,RLNG,,Pakistan,operating, 1230 MW,,,,,,,,
OGP-24,Chiniot Power,31.611397,72.7607832,,biofuel,,Pakistan,operating, 62 MW,,,,,,,,
OGP-25,Nandipur Power Project,32.242589,74.2691227,,furnace oil,,Pakistan,operating, 425 MW,,,,,,,,
OGP-26,Japan Power,31.325543,74.2623156,,furnace oil,,Pakistan,operating, 135 MW,,,,,,,,
OGP-27,Southern Electric Power,31.291531,74.2495319,,furnace oil,,Pakistan,operating, 136 MW,,,,,,,,
