plant_name,city,country,Latitude,Longitude,status,planty_type
"Abhishek Industries Limited, Trident Group",LUDHIANA,INDIA,30.9136225,75.8170786,Operating,pulp and paper
Agarwal Pulp and Paper Mills Ltd,MUZAFFARNAGAR,INDIA,29.4610536,77.6861916,Operating,pulp and paper
Alkaram Paper Mills Pvt. Ltd,LAHORE,PAKISTAN,31.3640634,74.18313,Operating,pulp and paper
Al-Quresh Board Mills Ltd,LAHORE,PAKISTAN,31.44702014,74.32221437,Operating,pulp and paper
Amber Super Paper Ltd,DHAKA,BANGLADESH,23.82534,90.4360182,Operating,pulp and paper
Asia Paper and Board Mills Ltd,DHAKA,BANGLADESH,23.7312103,90.4088458,Operating,pulp and paper
"Atas Paper (Pvt) Ltd, A company of Sayid Paper Group",SHEIKHUPURA,PAKISTAN,31.66143276,74.14548872,Operating,pulp and paper
BAHL Paper Mills Ltd,DELHI,INDIA,28.6349338,77.1792825,Operating,pulp and paper
"BAHL Paper Mills Ltd, Kashipur Plant",KASHIPUR,INDIA,29.15395383,78.92952222,Operating,pulp and paper
Bangladesh Paper Mills Ltd,DHAKA,BANGLADESH,23.7333464,90.4065196,Operating,pulp and paper
BCIC Bangladesh Chemical Industries Corp.,DHAKA,BANGLADESH,23.7267506,90.4191763,Operating,pulp and paper
Bharat Strawboard & Paper Mills (Private) Ltd,ALLAHABAD,INDIA,25.3920905,81.8671896,Operating,pulp and paper
BILT Ballarpur Industries Ltd,GURGAON,INDIA,28.4795213,77.0834736,Operating,pulp and paper
"BILT Ballarpur Industries Ltd, Unit Shreegopal",YAMUNANAGAR,INDIA,30.1253913,77.2861791,Operating,pulp and paper
"Bin Qasim Packages Ltd, Karachi Corrugating Unit",KARACHI,PAKISTAN,24.84638983,67.17163102,Operating,pulp and paper
"Bindal Papers Limited, Muzaffarnagar Works",MUZAFFARNAGAR,INDIA,29.4713791,77.7524847,Operating,pulp and paper
"BPML Bashundhara Paper Mill Limited, Bashundhara Group Corporate Office",DHAKA,BANGLADESH,23.8118837,90.4283242,Operating,pulp and paper
Bulleh Shah Packaging Pvt. Limited,KASUR,PAKISTAN,31.2145509,74.1188246,Operating,pulp and paper
Century Paper & Board Mills Limited,Lakson Group,PAKISTAN,31.20623443,73.96364187,Operating,pulp and paper
"Century Paper & Board Mills Limited, Board and Paper Mill",BHAI PHERU,PAKISTAN,30.0456602,72.0585955,Operating,pulp and paper
Chandpur Enterprises Ltd,BIJNOR,INDIA,29.1309316,78.3070162,Operating,pulp and paper
Cheema Papers Limited,NAINI TAL,INDIA,27.5705886,80.0981869,Operating,pulp and paper
Chemopulp Tissues Limited,GHAZIABAD,INDIA,28.7388465,77.2622616,Operating,pulp and paper
"CPP Century Pulp & Paper, Division of Century Textile and Industries Ltd (CTIL)",DELHI,INDIA,28.5395203,77.2892572,Operating,pulp and paper
East India Paper & Board Mills,KOLKATA (CALCUTTA),INDIA,22.5493487,88.3575388,Operating,pulp and paper
"Faruki Pulp Mills Ltd, Sargodha Mill",SARGODHA,PAKISTAN,32.0870926,72.6584526,Operating,pulp and paper
Firdaus Board Mills (Pvt) Ltd,GUJRANWALA,PAKISTAN,32.1367859,74.1932648,Operating,pulp and paper
"Flying Kraft Paper Mills Ltd, A company of Flying Group of Companies",CHARSADDA,PAKISTAN,34.1681814,71.7503855,Operating,pulp and paper
"Flying Paper Industries Ltd, A company of Flying Group of Companies",LAHORE,PAKISTAN,31.5247931,74.3225608,Operating,pulp and paper
Gateway Speciality Papers Limited,DELHI,INDIA,28.702227,77.173583,Operating,pulp and paper
"Gateway Speciality Papers Limited, Kundli Mill",KUNDLI,INDIA,28.8072614,77.1404211,Operating,pulp and paper
Hanuman Chromocoates Limited,KOLKATA (CALCUTTA),INDIA,22.5712655,88.3458665,Operating,pulp and paper
"Hashem Paper Mills Ltd, Zeysha Group",DHAKA,BANGLADESH,23.7245473,90.4213183,Operating,pulp and paper
"Hussain Pulp, Paper and Board Mills Ltd",DHAKA,BANGLADESH,23.7657287,90.4054498,Operating,pulp and paper
"Incite Homecare Products (P) Limited, Regional Office Noida",NOIDA,INDIA,28.5803863,77.2442689,Operating,pulp and paper
"ITC Limited, PSPC Manufacturing Tribeni Unit",CHANDRAHATI,INDIA,23.0485138,88.2826103,Operating,pulp and paper
"ITC Limited, Registered Office",KOLKATA (CALCUTTA),INDIA,22.5512458,88.3491845,Operating,pulp and paper
Jubilee Paper Board Mills Limited,KAMOKE,PAKISTAN,31.9894881,74.2195526,Operating,pulp and paper
Karachi Paper and Board Mills,Karachi Paper & Board Mills (Pvt) Limited,PAKISTAN,24.84333996,67.15272107,Operating,pulp and paper
Khanna Paper Mills,AMBALA CANTT,INDIA,30.3436212,76.8710151,Operating,pulp and paper
"Khanna Paper Mills Ltd, Work and Corporate Office",AMRITSAR,INDIA,31.6427636,74.8565613,Operating,pulp and paper
Khulna Newsprint Mills Ltd,KHALISHPUR,BANGLADESH,22.8496682,89.5367413,Operating,pulp and paper
"Krishna Tissues Private Limited, Burdwan Mill",BURDWAN,INDIA,23.3675867,87.8981188,Operating,pulp and paper
"Krishna Tissues Private Limited, Corporate Office",KOLKATA (CALCUTTA),INDIA,22.5902717,88.4041641,Operating,pulp and paper
"Krishna Tissues Private Limited, Howrah Mill",HOWRAH,INDIA,22.4737841,88.018735,Operating,pulp and paper
