plant_name,city,country,latitude,longitude,status,plant_type,capacity_p,capacity_1
"Abhishek Industries Limited, Trident Group",Ludhiana,India,30.9136225,75.8170786,Operating,Paper,N/A,No information
Agarwal Pulp and Paper Mills Ltd,Muzaffar Nagar,India,29.4610536,77.6861916,Operating,Paper,N/A,No information
Alkaram Paper Mills Pvt. Ltd,Lahore,Pakistan,31.3640634,74.18313,Operating,Paper,N/A,"24,000"
Allied Paper,Thatta,Pakistan,25.01983262,67.11235007,Operating,Pulp and paper,"9,000","13,000"
Al-Quresh Board Mills Ltd,Lahore,Pakistan,31.44702014,74.32221437,Operating,Paper and packaging,N/A,"20,000"
Amber Super Paper Ltd,Dhaka,Bangladesh,23.82534,90.4360182,Operating,Paper,N/A,No information
Asia Paper and Board Mills Ltd,Dhaka,Bangladesh,23.7312103,90.4088458,Operating,Paper,N/A,No information
"Atas Paper (Pvt) Ltd, A company of Sayid Paper Group",Sheikhupura,Pakistan,31.66143276,74.14548872,Operating,Paper,N/A,"45,000"
BAHL Paper Mills Ltd,DELHI,India,28.6349338,77.1792825,Operating,Pulp and Paper, , 
"BAHL Paper Mills Ltd, Kashipur Plant",Kashipur,India,29.15395383,78.92952222,Operating,Paper,No information,"88,500"
Bangladesh Paper Mills Ltd,Dhaka,Bangladesh,23.7333464,90.4065196,Operating,Paper,N/A,No information
BCIC Bangladesh Chemical Industries Corp.,Dhaka,Bangladesh,23.7267506,90.4191763,Operating,Paper,N/A,No information
Bharat Strawboard & Paper Mills (Private) Ltd,Allahabad,India,25.3920905,81.8671896,Operating,Paper,N/A,No information
"BILT Ballarpur Industries Ltd, Unit Shreegopal",Yamunanagar,India,30.1253913,77.2861791,Operating,Pulp and paper,"67,000","75,000"
"Bin Qasim Packages Ltd, Karachi Corrugating Unit",Karachi,Pakistan,24.84638983,67.17163102,Operating,Paper and packaging,N/A,"20,000"
"BPML Bashundhara Paper Mill Limited, Bashundhara Group Corporate Office",Dhaka,Bangladesh,23.8118837,90.4283242,Operating,pulp and paper,,
Bulleh Shah Packaging Pvt. Limited,Kasur,Pakistan,31.2145509,74.1188246,Operating,Paper and packaging,N/A,"265,000"
"Century Paper & Board Mills Limited, Board and Paper Mill",Bhai Pheru,Pakistan,30.0456602,72.0585955,Operating,pulp and paper,,
Century Paper & Board Mills Limited,Kasur,Pakistan,31.20623443,73.96364187,Operating,Paper and packaging,N/A,"230,000"
BILT Ballarpur Industries Ltd,Gurgaon,India,28.4795213,77.0834736,Operating,pulp and paper,,
"Bindal Papers Limited, Muzaffarnagar Works",Muzaffar Nagar,India,29.4713791,77.7524847,Operating,pulp and paper,,
Chandpur Enterprises Ltd,Bijnor,India,29.1309316,78.3070162,Operating,Paper,N/A,No information
Cheema Papers Limited,Naini Tal,India,27.5705886,80.0981869,Operating,Paper,N/A,No information
Chemopulp Tissues Limited,Ghaziabad,India,28.7388465,77.2622616,Operating,Paper,N/A,No information
CPP Century Pulp & Paper,Delhi,India,28.5395203,77.2892572,Operating,Paper,N/A,No information
East India Paper & Board Mills,Kolkata,India,22.5493487,88.3575388,Operating,Paper and packaging,N/A,No information
Empire paper and board Mill,Lahore,Pakistan,31.6286705,74.18757298,Operating,Paper and packaging,N/A,"24,000"
"Faruki Pulp Mills Ltd, Sargodha Mill",Sargodha,Pakistan,32.0870926,72.6584526,Operating,Pulp,"68,000",N/A
Fazal Paper Mill,Okara,Pakistan,30.87556679,73.42092147,Operating,Paper and packaging,N/A,"51,500"
Firdaus Board Mills (Pvt) Ltd,Gujranwala,Pakistan,32.1367859,74.1932648,Operating,Paper,N/A,No information
"Flying Kraft Paper Mills Ltd, A company of Flying Group of Companies",Charsadda,Pakistan,34.1681814,71.7503855,Operating,Pulp and paper,"66,000","36,500"
"Flying Paper Industries Ltd, A company of Flying Group of Companies",Lahore,Pakistan,31.5247931,74.3225608,Operating, ,N/A,No information
Gateway Speciality Papers Limited,Delhi,India,28.702227,77.173583,Operating,Paper,N/A,No information
"Gateway Speciality Papers Limited, Kundli Mill",Kundli,India,28.8072614,77.1404211,Operating,Paper,N/A,No information
"Incite Homecare Products (P) Limited, Regional Office Noida",Noida,India,28.5803863,77.2442689,Operating,pulp and paper,,
"ITC Limited, Registered Office",Kolkata,India,22.5512458,88.3491845,Operating,pulp and paper,,
"Krishna Tissues Private Limited, Corporate Office",Kolkata,India,22.5902717,88.4041641,Operating,pulp and paper,,
"Kuantum Papers Ltd, Corporate Office",Chandigarh,India,30.7375403,76.7934951,Operating,pulp and paper,,
Hanuman Chromocoates Limited,Kolkata,India,22.5712655,88.3458665,Operating,Paper,N/A,No information
"Hashem Paper Mills Ltd, Zeysha Group",Dhaka,Bangladesh,23.7245473,90.4213183,Operating,Paper,N/A,No information
"Hussain Pulp, Paper and Board Mills Ltd",Dhaka,Bangladesh,23.7657287,90.4054498,Operating,Paper and packaging,N/A,"20,000"
"ITC Limited, PSPC Manufacturing Tribeni Unit",Chandigarh,India,23.0485138,88.2826103,Operating,Packaging,N/A,"60,000"
Jubilee Paper Board Mills Limited,Kamoke,Pakistan,31.9894881,74.2195526,Operating,Pulp and paper and packaging,"10,000","15,000"
Karachi Paper and Board Mills,Karachi,Pakistan,24.84333996,67.15272107,Operating,Paper,N/A,"15,000"
Khanna Paper Mills,Ambala Cantt,India,30.3436212,76.8710151,Operating,Paper,N/A,No information
Khulna Newsprint Mills Ltd,Khalispur,Bangladesh,22.8496682,89.5367413,Operating,Paper,N/A,No information
"Krishna Tissues Private Limited, Burdwan Mill",Burdwan,India,23.3675867,87.8981188,Operating,Paper,N/A,No information
"Krishna Tissues Private Limited, Howrah Mill",Howrah,India,22.4737841,88.018735,Operating,Paper and packaging,N/A,No information
"Lipy Paper Mills Ltd, Lipy Group",Dhaka,Bangladesh,23.7327123,90.4125562,Operating,Paper,N/A,No information
Lucky Paper Mill,Jamshoro,Pakistan,25.35425221,68.27508835,Operating,Paper and packaging,N/A,No information
"Magura Paper Mills Ltd, BDG-Magura Group",Dhaka,Bangladesh,23.7267506,90.4191763,Operating,Paper, , 
Malik Board and Paper Industries (Pvt) Ltd,Lahore,Pakistan,31.4871648,74.3470706,Operating,Paper and packaging,N/A,No information
Mandiali Paper Mills (Pvt) Ltd,Sheikhupura,Pakistan,31.66047723,74.14897416,Operating,Pulp and paper,N/A,"22,000"
Mukerian Papers Ltd,Ludhiana,India,30.8754888,75.8888152,Operating,Paper,N/A,No information
"Mukerian Papers Ltd, Mukerian Mill",Mukerian,India,31.9280757,75.6288101,Operating,Paper,N/A,No information
NBPM North Bengal Paper Mills Ltd,Paksey,Bangladesh,24.0808134,89.0519747,Operating,Paper,N/A,No information
Nikita Papers Limited,Shamli,India,28.7467243,77.1517559,Operating,Paper,N/A,No information
Orient Paper & Industries Ltd,Kolkata,India,22.570999,88.3516711,Operating,Paper,N/A,No information
