city,state,country,iso3,country_code,region,sub_region,latitude,longitude,accuracy,status,plant_type,primary_production_type,primary_product,capacity,capacity_source,year
Bhatiari,,Bangladesh,BGD,50,Asia,Southern Asia,22.444118000000000,91.740168999999995,Exact,Operating,Downstream,Rolling,Finished Products,0.750000000000000,http://abulkhairsteel.com/about-us/,
Sonaichhari,Chittagong Division,Bangladesh,BGD,50,Asia,Southern Asia,22.472007999999999,91.734826999999996,Exact,Operating,Mini-Mill,EAF,Crude Steel,1.400000000000000,http://abulkhairsteel.com/about-us/,
Chattogram,Chittagong Division,Bangladesh,BGD,50,Asia,Southern Asia,22.381060000000002,91.768619999999999,Exact,Operating,Downstream,Rolling,Finished Products,,,
Chittagong,Chittagong Division,Bangladesh,BGD,50,Asia,Southern Asia,22.383963999999999,91.810239999999993,Exact,Operating,Downstream,Rolling,Finished Products,0.450000000000000,https://bsrm.com/bangladesh-steel-re-rolling-mills-ltd/,1960
Zorargonj,Chittagong Division,Bangladesh,BGD,50,Asia,Southern Asia,22.871759999999998,91.546567999999994,Exact,Operating,Mini-Mill,IF,Crude Steel,0.700000000000000,https://bsrm.com/bsrm-steels-ltd/,2008
Sonaichhari,Chittagong Division,Bangladesh,BGD,50,Asia,Southern Asia,22.499834000000000,91.715778000000000,Exact,Operating,,,,,,
Hazira,Gujarat,India,IND,356,Asia,Southern Asia,21.111322999999999,72.643812999999994,Exact,Operating,Integrated,BF,Crude Steel,,,1972
Pimpri-Chinchwad,Maharashtra,India,IND,356,Asia,Southern Asia,18.655587000000001,73.796152000000006,Exact,Operating,,,,,,
Visakhapatnam,Andhra Pradesh,India,IND,356,Asia,Southern Asia,17.719148000000001,83.274563999999998,Exact,Operating,,,,,,
Musadia,Odisha,India,IND,356,Asia,Southern Asia,20.321456999999999,86.647655000000000,Exact,Operating,,,,,,
Danapuram,Karnataka,India,IND,356,Asia,Southern Asia,15.171144000000000,76.377767000000006,Exact,Operating,Integrated,BF,Crude Steel,,,
Raigad,Maharashtra,India,IND,356,Asia,Southern Asia,18.690093999999998,73.037536000000003,Exact,Operating,Integrated,BF,Crude Steel,,,
Salem,Tamil Nadu,India,IND,356,Asia,Southern Asia,11.816179999999999,77.914704000000000,Exact,Operating,Integrated,BF,Crude Steel,,,1994
Toranagallu,Karnataka,India,IND,356,Asia,Southern Asia,15.180540000000001,76.656840000000003,Exact,Operating,Integrated,BF,Crude Steel,,,1997
Derba,Odisha,India,IND,356,Asia,Southern Asia,21.760297999999999,84.022267999999997,Exact,Operating,Integrated,BF,Crude Steel,3.500000000000000,https://www.bhushanpowersteel.com/profile.html,
Kurru Bhantha,Chhattisgarh,India,IND,356,Asia,Southern Asia,21.983709000000001,83.238133000000005,Exact,Operating,Integrated,BF,Crude Steel,1.500000000000000,https://www.aionjsw.in/products/steel.aspx,
