uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMBGD0006,Amber Super Paper Ltd,DHAKA,Bangladesh,Asia,South Asia,23.825340000000001,90.436018200000007,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Amber Super Paper Ltd,No information,http://www.amber.com.bd/,No information,No information
GPPMBGD0007,Asia Paper and Board Mills Ltd,DHAKA,Bangladesh,Asia,South Asia,23.731210300000001,90.408845799999995,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Asia Paper and Board Mills Ltd,No information, ,No information,No information
GPPMBGD0008,Bangladesh Paper Mills Ltd,DHAKA,Bangladesh,Asia,South Asia,23.733346399999999,90.406519599999996,Operating,Paper,N/A,No information, ,No information,No information,No information,5001123318,Bangladesh Textile Mills Corp,No information, ,No information,Bangladesh Textile Mills Corp
GPPMBGD0021,"Magura Paper Mills Ltd, BDG-Magura Group",DHAKA,Bangladesh,Asia,South Asia,23.726750599999999,90.419176300000004,Operating,Paper, , , , , , , , , , , , 
GPPMBGD0009,BCIC Bangladesh Chemical Industries Corp.,DHAKA,Bangladesh,Asia,South Asia,23.726750599999999,90.419176300000004,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,BCIC Bangladesh Chemical Industries Corp.,No information,http://www.bcic.gov.bd/,No information,No information
GPPMBGD0010,"Hashem Paper Mills Ltd, Zeysha Group",DHAKA,Bangladesh,Asia,South Asia,23.724547300000001,90.421318299999996,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,"Hashem Paper Mills Ltd, Zeysha Group",No information,http://zeyshagroup.com/,No information,No information
GPPMBGD0011,"Hussain Pulp, Paper and Board Mills Ltd",DHAKA,Bangladesh,Asia,South Asia,23.765728700000000,90.405449800000000,Operating,Paper and packaging,N/A,"20,000","40,000 is the capacity of two units",https://bppd-bd.com/directory/hasan-pulp-paper-mills-ltd/,No information,No information,4296780740,HUSSAIN PULP & PAPER MILLS LTD,No information, ,No information,HUSSAIN PULP & PAPER MILLS LTD
GPPMBGD0012,"Lipy Paper Mills Ltd, Lipy Group",DHAKA,Bangladesh,Asia,South Asia,23.732712299999999,90.412556199999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,"Lipy Paper Mills Ltd, Lipy Group",No information,http://www.lipygroup.com/,No information,No information
GPPMBGD0013,"Pearl Paper & Board Mills Ltd, Magura Group",DHAKA,Bangladesh,Asia,South Asia,23.804093000000002,90.415237599999998,Operating,Paper,N/A,"40,000", ,"https://www.maguragroup.com.bd/index.php?area=online&action=ppbm#:~:text=The%20plant%20is%20capable%20to,converted%20offset%20paper%20per%20annum.",No information,No information,No information,"Pearl Paper & Board Mills Ltd, Magura Group",No information,http://www.maguragroup.com/,No information,No information
GPPMBGD0014,Pioneer Paper & Board Mills Ltd,DHAKA,Bangladesh,Asia,South Asia,23.714956300000001,90.418133100000006,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Pioneer Paper & Board Mills Ltd,No information, ,No information,No information
