city,state,country,latitude,longitude,status,plant_type,primary__1,capacity,year,parent_nam,id
Hisar,Haryana,India,29.127253,75.773075,Operating,,,0,"1977",Jindal Stainless Ltd,"1"
Kalyani,West Bengal,India,22.976512,88.46118,Operating,,,0,"0",KR Steel Union Ltd,"2"
Mathurakismat,West Bengal,India,22.378355,87.281773,Operating,Integrated,Crude Steel,0.99,"0",Orissa Metaliks Pvt Ltd,"3"
Asansol,West Bengal,India,23.665198,86.917455,Operating,Integrated,Crude Steel,0,"0",Steel Authority of India Ltd,"4"
Durgapur,West Bengal,India,23.546442,87.249552,Operating,Integrated,Crude Steel,0,"0",Steel Authority of India Ltd,"5"
Durgapur,West Bengal,India,23.522882,87.275935,Operating,,,0,"1965",Steel Authority of India Ltd,"6"
Latibpur,West Bengal,India,22.385611,87.287179,Operating,Integrated,Crude Steel,0,"0",Tata Steel Ltd,"7"
Ghaziabad,Uttar Pradesh,India,28.648921,77.331907,Operating,,,0,"1987",Tata Steel Ltd,"8"
Hoshiarpur,Punjab,India,31.583478,75.95079,Operating,,,0,"1974",Usha Martin Ltd,"9"
Murtazanagar,Uttar Pradesh,India,26.581306,80.560423,Operating,,,0,"0",,"10"
Unnao,Uttar Pradesh,India,26.561084,80.532491,Operating,,,0,"0",,"11"
Salanpur,West Bengal,India,23.776213,86.866906,Operating,,,0,"0",,"12"
Haldia,West Bengal,India,22.054668,88.126162,Operating,,,0,"0",,"13"
Kolkata,West Bengal,India,22.715728,88.372253,Operating,,,0,"0",,"14"
Howrah,West Bengal,India,22.635024,88.337702,Operating,,,0,"0",,"15"
Bawal,Haryana,India,28.097508,76.58241,Operating,,,0,"0",,"16"
Asoda Todran,Haryana,India,28.734516,76.842644,Operating,,,0,"0",,"17"
Fatehgarh Sahib,Punjab,India,30.651464,76.317017,Operating,,,0,"0",,"18"
Ludhiana,Punjab,India,30.845731,75.960442,Operating,,,0,"0",,"19"
Ludhiana,Punjab,India,30.885416,75.897013,Operating,,,0,"0",,"20"
Ludhiana,Punjab,India,30.887595,75.907098,Operating,,,0,"0",,"21"
Karachi,Sindh,Pakistan,24.794878,67.353327,Operating,DRI,Iron,1.28,"1977",Al Tuwairqi Holding Co,"22"
Dhabeji,Sindh,Pakistan,24.800326,67.504851,Operating,Mini-Mill,Crude Steel,0.6,"1987",Amreli Steels Ltd,"23"
Karachi,Sindh,Pakistan,24.840713,67.34738,Operating,Downstream,Finished Products,0.7,"2012",Arif Habib Corporation Ltd,"24"
Karachi,Sindh,Pakistan,24.837855,67.231431,Operating,Downstream,Finished Products,1,"1966",International Industries Ltd,"25"
Lahore,Punjab,Pakistan,31.610191,74.362308,Operating,,,0,"1975",Ishtiaq Steel Industry,"26"
Kasur,Punjab,Pakistan,31.258774,74.132858,Operating,Downstream,Finished Products,0.12,"2006",Ittefaq Iron Industries Ltd,"27"
Karachi,Sindh,Pakistan,24.805135,67.346694,Operating,Integrated,Crude Steel,1.1,"1981",Pakistan Steel Mills Corp Pvt Ltd,"28"
Karachi,Sindh,Pakistan,24.96585,67.022604,Operating,Mini-Mill,Crude Steel,0.07,"1975",Peoples Steel Mills Ltd,"29"
Winder,Balochistan,Pakistan,25.382244,66.676192,Operating,Downstream,Finished Products,0.2,"1999",Siddiqsons Group,"30"
