brickid,type,longitude,latitude
BKI-1,fcbk,81.7009775,26.16284984
BKI-5,fcbk,85.15791909,25.69397158
BKI-6,fcbk,85.21989825,25.76517017
BKI-7,zigzag,85.21960151,25.76381219
BKI-8,fcbk,85.46940663,25.83817926
BKI-9,fcbk,85.27609026,25.81540027
BKI-10,zigzag,85.33727936,25.98814685
BKI-11,fcbk,85.49090541,25.66642002
BKI-12,zigzag,85.25640889,25.69342476
BKI-13,fcbk,85.41005765,25.71068671
BKI-14,zigzag,85.38035459,25.75716359
BKI-16,zigzag,88.25182425,26.44341562
BKI-17,fcbk,84.38235741,25.48087167
BKI-18,fcbk,84.22992353,25.34666939
BKI-19,fcbk,76.5057748,29.43589589
BKI-20,fcbk,76.15130526,29.20811254
BKI-21,fcbk,76.28861591,29.40433743
BKI-22,zigzag,76.36673851,29.22809078
BKI-23,fcbk,76.40392239,29.56056445
BKI-24,fcbk,76.57832242,29.30148008
BKI-25,fcbk,76.38240514,29.21815765
BKI-38,zigzag,76.67534425,28.65745482
BKI-39,fcbk,84.19772012,25.87686923
BKI-40,zigzag,82.70854913,25.21603684
BKI-41,fcbk,82.59208298,25.20397052
BKI-42,fcbk,82.49143565,25.24862545
BKI-43,fcbk,82.6048558,25.20480756
BKI-44,zigzag,82.7476088,25.38738687
BKI-45,fcbk,82.80134972,25.4338196
BKI-46,fcbk,82.640309,25.52262432
BKI-47,zigzag,82.52444542,25.46745999
BKI-48,zigzag,82.47269512,25.46681904
BKI-49,fcbk,82.59826238,25.56600528
BKI-50,zigzag,82.48676501,25.42190732
BKI-51,fcbk,82.48608414,25.42105834
BKI-52,fcbk,82.78330277,25.28546843
BKI-53,fcbk,82.66431948,25.24390705
BKI-54,zigzag,82.63177673,25.18121199
BKI-55,fcbk,82.49729185,25.30058837
BKI-56,fcbk,82.84527773,25.39833658
BKI-57,fcbk,82.73571313,25.54549126
BKI-58,fcbk,82.47439151,25.47075392
BKI-59,fcbk,82.74764234,25.52810795
BKI-60,zigzag,82.60971188,25.25222643
