brickid,state,latitude,longitude
BKP-1,Sindh,68.92333001,27.67848629
BKP-2,Sindh,68.92904586,27.67670378
BKP-3,Sindh,69.03184649,25.58154892
BKP-4,Sindh,69.01388019,25.30801192
BKP-5,Sindh,69.01873109,25.44931691
BKP-6,Sindh,69.01947669,25.48342595
BKP-7,Sindh,69.02025822,25.4518322
BKP-8,Sindh,69.00732248,25.8034328
BKP-9,Sindh,69.00669366,25.80064802
BKP-10,Sindh,69.00539111,25.80037853
BKP-11,Sindh,69.00403042,25.79799799
BKP-12,Sindh,69.00584026,25.79795308
BKP-13,Sindh,69.01295193,25.30858085
BKP-14,Sindh,69.00809029,25.38129496
BKP-15,Sindh,69.00838763,25.4573055
BKP-16,Sindh,69.01037804,25.45285628
BKP-17,Sindh,69.0548793,25.48772888
BKP-18,Sindh,69.05991884,25.52899748
BKP-19,Sindh,69.06194005,25.52190079
BKP-20,Sindh,69.05345097,25.46458186
BKP-21,Sindh,69.05484336,25.46036619
BKP-22,Sindh,69.05617521,25.47804152
BKP-23,Sindh,69.05796311,25.47290835
BKP-24,Sindh,69.05642464,25.47109368
BKP-25,Sindh,69.05259758,25.465801
BKP-26,Sindh,69.04867112,25.48347331
BKP-27,Sindh,69.04587705,25.49204304
BKP-28,Sindh,69.04361442,25.49167248
BKP-29,Sindh,69.04913906,25.4874504
BKP-30,Sindh,69.04833058,25.91576713
BKP-31,Sindh,69.04226695,25.50128445
BKP-32,Sindh,69.03642009,25.50744377
BKP-33,Sindh,69.03357053,25.4936034
BKP-34,Sindh,68.58556346,27.43450386
BKP-35,Sindh,68.63083855,27.38666857
BKP-36,Sindh,68.62517916,27.60617191
BKP-37,Sindh,68.43091848,27.1058103
BKP-38,Sindh,68.4207226,27.10051024
BKP-39,Sindh,68.44155993,27.10424543
BKP-40,Sindh,68.4024868,27.28735982
BKP-41,Sindh,68.53310185,27.11021204
BKP-42,Sindh,68.5307258,27.08770925
BKP-43,Sindh,68.52798145,27.08339733
BKP-44,Sindh,68.56949645,27.20900748
BKP-45,Sindh,68.56660901,27.33694682
BKP-46,Sindh,68.56023097,27.1140748
BKP-47,Sindh,68.49070136,27.07580657
BKP-48,Sindh,67.76032113,26.83089089
BKP-49,Sindh,67.80151388,26.53106818
BKP-50,Punjab,73.09859165,31.47057155
BKP-51,Punjab,73.09966289,31.28985522
BKP-52,Punjab,73.10116981,32.92864505
BKP-53,Punjab,73.09510619,31.66215525
BKP-54,Punjab,73.10306853,31.64247806
BKP-55,Punjab,73.10097218,32.92893252
BKP-56,Punjab,73.08908747,30.5864227
BKP-57,Punjab,73.09298805,30.61564395
BKP-58,Punjab,73.10328085,30.31019075
