id,name,lat,lon,type, fuel,region,country,status,capacity,prod_kw,emfpm10,pm10,emfpm25,pm25,emfso2,so2,emfnox,nox
CB-1,Barapukuria power station,25.5537569,88.9486312,,,,Bangladesh,"operating, operating, operating","125, 125, 275",4599000000,0.37,4.662,0.19,2.394,7.2,90.72,4.3,54.18
CB-2,Patuakhali power station (RPCL/NORINCO),22.025149,90.312349,,,,Bangladesh,"construction, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CB-3,Payra power station (BCPCL),22.001974,90.30821,,,,Bangladesh,"operating, operating, construction, construction","660, 660, 660, 660",23126400000,0.37,23.4432,0.19,12.0384,7.2,456.192,4.3,272.448
CB-4,Rampal power station,22.5924582,89.556427,,,,Bangladesh,"operating, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-1,Adani Godda power station,24.81411,87.13547,,,,India,"operating, operating","800, 800",14016000000,0.37,14.208,0.19,7.296,7.2,276.48,4.3,165.12
CI-2,Angul Smelter power station (Meja Urja Nigam Pvt Ltd),25.14587,81.9401,,,,India,pre-permit,800,7008000000,0.37,7.104,0.19,3.648,7.2,138.24,4.3,82.56
CI-3,Angul Smelter power station (Mirzapur Thermal Energy (UP) Pvt Ltd),25.13658,82.5622,,,,India,pre-permit,800,7008000000,0.37,7.104,0.19,3.648,7.2,138.24,4.3,82.56
CI-4,Anpara power station,24.20204,82.78913,,,,India,"operating, operating, operating, operating, operating","210, 210, 210, 500, 500",14278800000,0.37,14.4744,0.19,7.4328,7.2,281.664,4.3,168.216
CI-5,Anpara-C power station,24.20379,82.79733,,,,India,"operating, operating","600, 600",10512000000,0.37,10.656,0.19,5.472,7.2,207.36,4.3,123.84
CI-6,Anpara-D power station,24.19626,82.80634,,,,India,"operating, operating","500, 500",8760000000,0.37,8.88,0.19,4.56,7.2,172.8,4.3,103.2
CI-7,Anpara-E power station,26.19278,79.94028,,,,India,"permitted, permitted","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-8,Asansol Crescent power station,23.65,88.13,,,,India,operating,40,350400000,0.37,0.3552,0.19,0.1824,7.2,6.912,4.3,4.128
CI-9,Badarpur Thermal Power Station Stage I,22.9957456,88.4038154,,,,India,"operating, operating, operating","95, 95, 95",2496600000,0.37,2.5308,0.19,1.2996,7.2,49.248,4.3,29.412
CI-10,Badarpur Thermal Power Station Stage II,24.714,86.9583,,,,India,"operating, operating","210, 210",3679200000,0.37,3.7296,0.19,1.9152,7.2,72.576,4.3,43.344
CI-11,Bakreswar Thermal Power Station Phase I,25.3913756,86.0234883,,,,India,"operating, operating, operating","210, 210, 210",5518800000,0.37,5.5944,0.19,2.8728,7.2,108.864,4.3,65.016
CI-12,Bakreswar Thermal Power Station Phase II,23.83669982,87.4672678,,,,India,"operating, operating","210, 210",3679200000,0.37,3.7296,0.19,1.9152,7.2,72.576,4.3,43.344
CI-13,Bandel Thermal Power Station,22.99575,88.40382,,,,India,"operating, operating, operating, operating, operating","60, 210, 60, 60, 60",3942000000,0.37,3.996,0.19,2.052,7.2,77.76,4.3,46.44
CI-14,Banka Thermal Power Plant,28.55,80.1,,,,India,"construction, construction, permitted, permitted","660, 660, 660, 660",23126400000,0.37,23.4432,0.19,12.0384,7.2,456.192,4.3,272.448
CI-15,Bara Thermal Power Project,25.19635,81.65853,,,,India,"operating, operating, operating","660, 660, 660",17344800000,0.37,17.5824,0.19,9.0288,7.2,342.144,4.3,204.336
CI-16,Barauni power station,25.39138,86.02349,,,,India,"operating, operating, operating, operating","250, 250, 110, 110",6307200000,0.37,6.3936,0.19,3.2832,7.2,124.416,4.3,74.304
CI-17,Barh I power station,25.4693,85.74516,,,,India,"operating, construction, construction","660, 660, 660",17344800000,0.37,17.5824,0.19,9.0288,7.2,342.144,4.3,204.336
CI-18,Barh II power station,25.4865,85.74516,,,,India,"operating, operating","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-19,Barkhera IPP power station,28.55,80.1,,,,India,"operating, operating","45, 45",788400000,0.37,0.7992,0.19,0.4104,7.2,15.552,4.3,9.288
CI-20,Bilhaur Super Thermal Power Plant,26.76339,80.05806,,,,India,"pre-permit, pre-permit","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-21,Budge Budge Generating Station,22.47034,88.13995,,,,India,"operating, operating, operating","250, 250, 250",6570000000,0.37,6.66,0.19,3.42,7.2,129.6,4.3,77.4
CI-22,Chandrapur Thermal Power Station (Bihar State Power Holding Co Ltd),25.39138,86.02349,,,,India,operating,250,2190000000,0.37,2.22,0.19,1.14,7.2,43.2,4.3,25.8
CI-23,Buxar Thermal Power Station,25.46235,83.88257,,,,India,"construction, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-24,Chunar Cement power station,25.09089,82.89734,,,,India,operating,38,332880000,0.37,0.33744,0.19,0.17328,7.2,6.5664,4.3,3.9216
CI-25,Churk captive power station,24.6391,83.10109,,,,India,"operating, operating, operating, operating","60, 60, 60, 60",2102400000,0.37,2.1312,0.19,1.0944,7.2,41.472,4.3,24.768
CI-26,Deenbandhu Chhotu Ram Thermal Power Plant,30.10541,77.32697,,,,India,"operating, operating","300, 300",5256000000,0.37,5.328,0.19,2.736,7.2,103.68,4.3,61.92
CI-27,Durgapur Projects Limited power station,23.52115,87.30231,,,,India,"operating, operating","300, 250",4818000000,0.37,4.884,0.19,2.508,7.2,95.04,4.3,56.76
CI-28,Durgapur SAIL power station,23.55181,87.24848,,,,India,"operating, operating","60, 60",1051200000,0.37,1.0656,0.19,0.5472,7.2,20.736,4.3,12.384
CI-29,Durgapur Steel City Andal power station,23.58,87.2043,,,,India,"operating, operating","500, 500",8760000000,0.37,8.88,0.19,4.56,7.2,172.8,4.3,103.2
CI-30,Farakka power station,24.77273,87.89371,,,,India,"operating, operating, operating, operating, operating, operating","200, 200, 200, 500, 500, 500",18396000000,0.37,18.648,0.19,9.576,7.2,362.88,4.3,216.72
CI-31,Feroze Gandhi Unchahar Power Station,25.91376,81.32724,,,,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 210, 500",13578000000,0.37,13.764,0.19,7.068,7.2,267.84,4.3,159.96
CI-32,Ghatampur power station,25.975,80.1889,,,,India,"construction, construction, construction","660, 660, 660",17344800000,0.37,17.5824,0.19,9.0288,7.2,342.144,4.3,204.336
CI-33,Guru Hargobind Lehra Mohabbat Power Station,30.26656,75.1661,,,,India,"operating, operating, operating, operating","210, 210, 250, 250",8059200000,0.37,8.1696,0.19,4.1952,7.2,158.976,4.3,94.944
CI-34,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,28.4850914,76.3731605,,,,India,"operating, operating, operating, operating","110, 110, 110, 120",3942000000,0.37,3.996,0.19,2.052,7.2,77.76,4.3,46.44
CI-35,Haldia Energy power station,22.06046,88.10975,,,,India,"operating, operating","600, 600",10512000000,0.37,10.656,0.19,5.472,7.2,207.36,4.3,123.84
CI-36,Haldia India Power,25.2369032,87.2655952,,,,India,"construction, construction, construction","150, 150, 150",3942000000,0.37,3.996,0.19,2.052,7.2,77.76,4.3,46.44
CI-37,Harduaganj power station,28.0175,78.13,,,,India,"operating, operating, operating, operating, pre-permit","660, 110, 250, 250, 660",16906800000,0.37,17.1384,0.19,8.8008,7.2,333.504,4.3,199.176
CI-38,Hiranmaye Haldia power station,22.07699,88.09841,,,,India,"operating, operating","150, 150",2628000000,0.37,2.664,0.19,1.368,7.2,51.84,4.3,30.96
CI-39,Indira Gandhi Super Thermal Power Project,28.48509,76.37316,,,,India,"operating, operating, operating","500, 500, 500",13140000000,0.37,13.32,0.19,6.84,7.2,259.2,4.3,154.8
CI-40,Jawaharpur Thermal Project,27.4971,78.82607,,,,India,"construction, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-41,Kahalgaon Super Thermal Power Plant,25.2369,87.2656,,,,India,"operating, operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 500, 500, 500",20498400000,0.37,20.7792,0.19,10.6704,7.2,404.352,4.3,241.488
CI-42,Kanoria Captive Power Plant,27.03,82.23,,,,India,operating,50,438000000,0.37,0.444,0.19,0.228,7.2,8.64,4.3,5.16
CI-43,Katwa Thermal Power Station,28.488143,76.352534,,,,India,"pre-permit, pre-permit","800, 800",14016000000,0.37,14.208,0.19,7.296,7.2,276.48,4.3,165.12
CI-44,Khamberkhera IPP power station,27.9,80.8,,,,India,"operating, operating","45, 45",788400000,0.37,0.7992,0.19,0.4104,7.2,15.552,4.3,9.288
CI-45,Khurja power station,28.15833,77.90833,,,,India,"construction, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-46,Kolaghat Thermal Power Station,22.41657,87.87098,,,,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 210, 210",11037600000,0.37,11.1888,0.19,5.7456,7.2,217.728,4.3,130.032
CI-47,Kundarki Ipp power station,27.03,82.23,,,,India,"operating, operating","45, 45",788400000,0.37,0.7992,0.19,0.4104,7.2,15.552,4.3,9.288
CI-48,Mahatma Gandhi power station,28.48814,76.35253,,,,India,"operating, operating","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-49,Maqsoodpur power station,27.81,79.94,,,,India,"operating, operating","45, 45",788400000,0.37,0.7992,0.19,0.4104,7.2,15.552,4.3,9.288
CI-50,Meja Thermal Power Project,25.14587,81.9401,,,,India,"operating, operating","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-51,Mejia power station,23.4639,87.1311,,,,India,"operating, operating, operating, operating, operating, operating, operating, operating","500, 500, 210, 210, 210, 210, 250, 250",20498400000,0.37,20.7792,0.19,10.6704,7.2,404.352,4.3,241.488
CI-52,Muzaffarpur power station,26.19477,85.3033,,,,India,"construction, construction, operating, operating","195, 195, 110, 110",5343600000,0.37,5.4168,0.19,2.7816,7.2,105.408,4.3,62.952
CI-53,Nabinagar Super Thermal Power Project,24.776,84.15803,,,,India,"operating, operating, operating","660, 660, 660",17344800000,0.37,17.5824,0.19,9.0288,7.2,342.144,4.3,204.336
CI-54,Nabinagar Thermal Power Project,24.70508,84.08874,,,,India,"operating, operating, operating, operating","250, 250, 250, 250",8760000000,0.37,8.88,0.19,4.56,7.2,172.8,4.3,103.2
CI-55,National Capital Dadri Thermal Power Plant,28.603,77.6078,,,,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 490, 490",15943200000,0.37,16.1616,0.19,8.2992,7.2,314.496,4.3,187.824
CI-56,Obra Thermal Power Station,24.4445,82.98,,,,India,"operating, operating, operating, operating, construction, construction, operating","200, 200, 200, 200, 660, 660, 200",20323200000,0.37,20.6016,0.19,10.5792,7.2,400.896,4.3,239.424
CI-57,Panipat power station,29.39751,76.87632,,,,India,"operating, operating, operating, operating, operating, operating, operating, operating","110, 110, 110, 110, 210, 210, 250, 250",11913600000,0.37,12.0768,0.19,6.2016,7.2,235.008,4.3,140.352
CI-58,Panki Thermal Power Station,26.4766,80.241,,,,India,"construction, operating, operating","660, 105, 105",7621200000,0.37,7.7256,0.19,3.9672,7.2,150.336,4.3,89.784
CI-59,Rajghat Power Station,27.8194455,79.9371618,,,,India,"operating, operating","67.5, 67.5",1182600000,0.37,1.1988,0.19,0.6156,7.2,23.328,4.3,13.932
CI-60,Rajiv Gandhi Thermal Power Project,29.34698,75.85754,,,,India,"operating, operating","600, 600",10512000000,0.37,10.656,0.19,5.472,7.2,207.36,4.3,123.84
CI-61,Rajpura Thermal Power Project,30.55896,76.57759,,,,India,"operating, operating","700, 700",12264000000,0.37,12.432,0.19,6.384,7.2,241.92,4.3,144.48
CI-62,Renusagar power station,24.18109,82.79128,,,,India,"operating, operating, operating, operating, operating, operating, operating, operating, operating, operating","67.5, 75, 67.5, 74, 74, 68, 74, 74, 76.7, 75",6357132000,0.37,6.444216,0.19,3.309192,7.2,125.40096,4.3,74.89224
CI-63,Rihand power station,24.027,82.7915,,,,India,"operating, operating, operating, operating, operating, operating","500, 500, 500, 500, 500, 500",26280000000,0.37,26.64,0.19,13.68,7.2,518.4,4.3,309.6
CI-64,Rosa Thermal Power Plant,27.81945,79.93716,,,,India,"operating, operating, operating, operating","300, 300, 300, 300",10512000000,0.37,10.656,0.19,5.472,7.2,207.36,4.3,123.84
CI-65,Sagardighi Thermal Power Station,24.36881,88.104,,,,India,"operating, operating, operating, operating, construction","300, 300, 500, 500, 660",19797600000,0.37,20.0688,0.19,10.3056,7.2,390.528,4.3,233.232
CI-66,Singrauli Super Thermal Power Station,24.10421,82.70636,,,,India,"operating, operating, operating, operating, operating, operating, operating, permitted, permitted","200, 200, 200, 200, 200, 500, 500, 800, 800",31536000000,0.37,31.968,0.19,16.416,7.2,622.08,4.3,371.52
CI-67,Southern CESC power station,22.54959,88.29151,,,,India,"operating, operating","67.5, 67.5",1182600000,0.37,1.1988,0.19,0.6156,7.2,23.328,4.3,13.932
CI-68,Suratgarh Super Thermal Power Station,29.16112,74.01916,,,,India,"operating, operating, operating, operating, operating, operating, operating, operating","250, 250, 250, 250, 250, 250, 660, 660",24703200000,0.37,25.0416,0.19,12.8592,7.2,487.296,4.3,291.024
CI-69,Talwandi Sabo Power Project,29.92458,75.23893,,,,India,"operating, operating, operating","660, 660, 660",17344800000,0.37,17.5824,0.19,9.0288,7.2,342.144,4.3,204.336
CI-70,Tanda power station,26.58948,82.60124,,,,India,"operating, operating, operating, operating, operating, operating","660, 660, 110, 110, 110, 110",15417600000,0.37,15.6288,0.19,8.0256,7.2,304.128,4.3,181.632
CI-71,The Durgapur Projects Limited,23.52136612,87.31004771,,,,India,"operating, operating, operating, operating, operating, operating, operating, operating","250, 110, 30, 30, 77, 77, 77, 300",8330760000,0.37,8.44488,0.19,4.33656,7.2,164.3328,4.3,98.1432
CI-72,Titagarh power station,22.73197,88.37031,,,,India,"operating, operating, operating, operating","60, 60, 60, 60",2102400000,0.37,2.1312,0.19,1.0944,7.2,41.472,4.3,24.768
CI-73,Utraula power station,27.43,82.18,,,,India,"operating, operating","45, 45",788400000,0.37,0.7992,0.19,0.4104,7.2,15.552,4.3,9.288
CI-74,Welspun Energy Mirzapur power station,24.8016992,84.59662018,,,,India,"permitted, permitted","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-75,Goindwal Sahib Thermal Power Plant,31.38414,75.1465,,,,India,operating,300,2628000000,0.37,2.664,0.19,1.368,7.2,51.84,4.3,30.96
CI-76,Hasdeo Thermal Power Station (The Durgapur Projects Ltd),23.52115,87.30231,,,,India,"operating, operating","300, 300",5256000000,0.37,5.328,0.19,2.736,7.2,103.68,4.3,61.92
CI-77,Jharsuguda CPP power station (Neyveli Uttar Pradesh Power Ltd),25.975,80.1889,,,,India,"construction, construction","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CI-78,Jharsuguda CPP power station (GVK Energy Ltd),31.38414,75.1465,,,,India,"operating, operating","270, 270",4730400000,0.37,4.7952,0.19,2.4624,7.2,93.312,4.3,55.728
CI-79,Jojobera Power Plant (Haldia Energy Ltd),22.06046,88.10975,,,,India,"operating, operating","300, 300",5256000000,0.37,5.328,0.19,2.736,7.2,103.68,4.3,61.92
CI-80,Jojobera Power Plant (Uttar Pradesh Rajya Vidyut Utpadan Nigam Ltd),28.0175,78.13,,,,India,"operating, operating, operating","660,110, 250",8935200000,0.37,9.0576,0.19,4.6512,7.2,176.256,4.3,105.264
CI-81,Lalitpur power project (The West Bengal Power Development Corp Ltd),22.41657,87.87098,,,,India,operating,"210,210,210",5518800000,0.37,5.5944,0.19,2.8728,7.2,108.864,4.3,65.016
CI-82,Mirzapur power station,25.13658,82.5622,,,,India,operating,45,394200000,0.37,0.3996,0.19,0.2052,7.2,7.776,4.3,4.644
CI-83,Sabarmati power station (NTPC Ltd),24.10538243,82.7063862,,,,India,"operating, operating","500, 500",8760000000,0.37,8.88,0.19,4.56,7.2,172.8,4.3,103.2
CP-1,Dera Ghazi Khan Cement power station,30.33167,70.5394,,,,Pakistan,operating,30,262800000,0.37,0.2664,0.19,0.1368,7.2,5.184,4.3,3.096
CP-2,Fauji Fertilizer power station,24.83309,67.41962,,,,Pakistan,operating,118,1033680000,0.37,1.04784,0.19,0.53808,7.2,20.3904,4.3,12.1776
CP-3,Hub Cement power station,25.15589,66.78361,,,,Pakistan,operating,30,262800000,0.37,0.2664,0.19,0.1368,7.2,5.184,4.3,3.096
CP-4,Hubco power station,24.914675,66.68876,,,,Pakistan,"operating, operating","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
CP-5,Jamshoro power station,25.472222,68.266111,,,,Pakistan,"construction, permitted","660, 660",11563200000,0.37,11.7216,0.19,6.0192,7.2,228.096,4.3,136.224
