id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity,capacity_u,activity,activity_u,source_nam,source_typ,lat,lon,other1,other2,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_de
1,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
2,IND,solid-waste-disposal,annual,ch4,19912.19,0.053651,T of CO2 per T of waste,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
3,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
4,IND,solid-waste-disposal,annual,co2e_100yr,557541.35,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
5,IND,solid-waste-disposal,annual,co2e_20yr,1672624.06,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
6,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
7,IND,solid-waste-disposal,annual,ch4,19912.19,0.053651,T of CO2 per T of waste,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
8,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
9,IND,solid-waste-disposal,annual,co2e_100yr,557541.35,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
10,IND,solid-waste-disposal,annual,co2e_20yr,1672624.06,0,,0,m2,371142.64,T of waste,OpenStreetMap Landfill,,26.44879069,80.23414917,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
